index, timestamp, power.draw [W]
0, 2019/09/05 15:27:43.501, 29.77 W
1, 2019/09/05 15:27:43.505, 35.88 W
2, 2019/09/05 15:27:43.509, 32.95 W
0, 2019/09/05 15:27:45.513, 30.01 W
1, 2019/09/05 15:27:45.863, 35.88 W
2, 2019/09/05 15:27:45.869, 32.22 W
0, 2019/09/05 15:27:47.878, 33.19 W
1, 2019/09/05 15:27:47.921, 35.88 W
2, 2019/09/05 15:27:47.926, 32.69 W
0, 2019/09/05 15:27:49.944, 30.26 W
1, 2019/09/05 15:27:50.094, 35.88 W
2, 2019/09/05 15:27:50.112, 32.69 W
0, 2019/09/05 15:27:52.118, 30.01 W
1, 2019/09/05 15:27:52.123, 36.13 W
2, 2019/09/05 15:27:52.127, 32.69 W
0, 2019/09/05 15:27:54.132, 29.77 W
1, 2019/09/05 15:27:54.136, 36.13 W
2, 2019/09/05 15:27:54.141, 32.22 W
0, 2019/09/05 15:27:56.147, 30.26 W
1, 2019/09/05 15:27:56.168, 36.13 W
2, 2019/09/05 15:27:56.175, 32.94 W
0, 2019/09/05 15:27:58.180, 29.77 W
1, 2019/09/05 15:27:58.271, 36.13 W
2, 2019/09/05 15:27:58.276, 32.69 W
0, 2019/09/05 15:28:00.281, 30.99 W
1, 2019/09/05 15:28:00.285, 35.88 W
2, 2019/09/05 15:28:00.382, 32.69 W
0, 2019/09/05 15:28:02.387, 30.26 W
1, 2019/09/05 15:28:02.404, 36.13 W
2, 2019/09/05 15:28:02.422, 32.94 W
0, 2019/09/05 15:28:04.440, 30.26 W
1, 2019/09/05 15:28:04.470, 31.73 W
2, 2019/09/05 15:28:04.474, 32.45 W
0, 2019/09/05 15:28:06.479, 30.26 W
1, 2019/09/05 15:28:06.483, 31.98 W
2, 2019/09/05 15:28:06.487, 32.45 W
0, 2019/09/05 15:28:08.491, 29.77 W
1, 2019/09/05 15:28:08.499, 31.73 W
2, 2019/09/05 15:28:08.503, 32.69 W
0, 2019/09/05 15:28:10.507, 30.01 W
1, 2019/09/05 15:28:10.523, 37.59 W
2, 2019/09/05 15:28:10.528, 32.69 W
0, 2019/09/05 15:28:12.567, 30.26 W
1, 2019/09/05 15:28:12.572, 35.88 W
2, 2019/09/05 15:28:12.577, 32.94 W
0, 2019/09/05 15:28:14.581, 29.77 W
1, 2019/09/05 15:28:14.587, 35.88 W
2, 2019/09/05 15:28:14.592, 32.69 W
0, 2019/09/05 15:28:16.596, 30.75 W
1, 2019/09/05 15:28:16.603, 35.88 W
2, 2019/09/05 15:28:16.608, 32.69 W
0, 2019/09/05 15:28:18.612, 30.01 W
1, 2019/09/05 15:28:18.617, 35.88 W
2, 2019/09/05 15:28:18.621, 32.94 W
0, 2019/09/05 15:28:20.626, 30.50 W
1, 2019/09/05 15:28:20.642, 36.13 W
2, 2019/09/05 15:28:20.647, 32.69 W
0, 2019/09/05 15:28:22.652, 30.26 W
1, 2019/09/05 15:28:22.657, 35.88 W
2, 2019/09/05 15:28:22.662, 32.69 W
0, 2019/09/05 15:28:24.667, 29.77 W
1, 2019/09/05 15:28:24.671, 36.37 W
2, 2019/09/05 15:28:24.676, 32.69 W
0, 2019/09/05 15:28:26.686, 30.01 W
1, 2019/09/05 15:28:26.688, 37.10 W
2, 2019/09/05 15:28:26.693, 32.45 W
0, 2019/09/05 15:28:28.698, 30.26 W
1, 2019/09/05 15:28:28.704, 36.62 W
2, 2019/09/05 15:28:28.709, 32.71 W
0, 2019/09/05 15:28:30.766, 29.77 W
1, 2019/09/05 15:28:30.925, 36.62 W
2, 2019/09/05 15:28:30.929, 32.69 W
0, 2019/09/05 15:28:32.935, 29.77 W
1, 2019/09/05 15:28:32.988, 36.37 W
2, 2019/09/05 15:28:33.029, 32.71 W
0, 2019/09/05 15:28:35.049, 30.01 W
1, 2019/09/05 15:28:35.230, 36.37 W
2, 2019/09/05 15:28:35.236, 32.71 W
0, 2019/09/05 15:28:37.241, 30.01 W
1, 2019/09/05 15:28:37.767, 36.37 W
2, 2019/09/05 15:28:37.776, 32.69 W
0, 2019/09/05 15:28:39.866, 29.75 W
1, 2019/09/05 15:28:39.877, 36.86 W
2, 2019/09/05 15:28:40.167, 32.69 W
0, 2019/09/05 15:28:42.177, 29.77 W
1, 2019/09/05 15:28:42.243, 36.62 W
2, 2019/09/05 15:28:42.255, 32.69 W
0, 2019/09/05 15:28:44.260, 29.77 W
1, 2019/09/05 15:28:44.275, 36.37 W
2, 2019/09/05 15:28:44.292, 32.71 W
0, 2019/09/05 15:28:46.296, 30.01 W
1, 2019/09/05 15:28:46.329, 36.37 W
2, 2019/09/05 15:28:46.334, 32.94 W
