index, timestamp, power.draw [W]
1, 2019/09/06 14:13:00.885, 31.73 W
2, 2019/09/06 14:13:00.967, 33.19 W
0, 2019/09/06 14:13:02.971, 32.94 W
1, 2019/09/06 14:13:02.976, 31.25 W
2, 2019/09/06 14:13:02.980, 33.19 W
0, 2019/09/06 14:13:04.985, 33.19 W
1, 2019/09/06 14:13:05.067, 31.49 W
2, 2019/09/06 14:13:05.072, 33.18 W
0, 2019/09/06 14:13:07.077, 32.94 W
1, 2019/09/06 14:13:07.081, 31.49 W
2, 2019/09/06 14:13:07.085, 33.18 W
0, 2019/09/06 14:13:09.090, 32.94 W
1, 2019/09/06 14:13:09.167, 31.49 W
2, 2019/09/06 14:13:09.171, 32.94 W
0, 2019/09/06 14:13:11.175, 32.94 W
1, 2019/09/06 14:13:11.180, 31.25 W
2, 2019/09/06 14:13:11.185, 32.94 W
0, 2019/09/06 14:13:13.191, 33.19 W
1, 2019/09/06 14:13:13.268, 31.25 W
2, 2019/09/06 14:13:13.273, 33.18 W
0, 2019/09/06 14:13:15.279, 32.94 W
1, 2019/09/06 14:13:15.367, 31.49 W
2, 2019/09/06 14:13:15.372, 33.19 W
0, 2019/09/06 14:13:17.379, 32.94 W
1, 2019/09/06 14:13:17.384, 31.49 W
2, 2019/09/06 14:13:17.389, 33.18 W
0, 2019/09/06 14:13:19.467, 32.70 W
1, 2019/09/06 14:13:19.472, 31.25 W
2, 2019/09/06 14:13:19.477, 32.69 W
0, 2019/09/06 14:13:21.567, 30.01 W
1, 2019/09/06 14:13:21.572, 31.49 W
2, 2019/09/06 14:13:21.577, 32.69 W
0, 2019/09/06 14:13:23.667, 29.77 W
1, 2019/09/06 14:13:23.672, 31.49 W
2, 2019/09/06 14:13:23.677, 32.69 W
0, 2019/09/06 14:13:25.681, 30.26 W
1, 2019/09/06 14:13:25.773, 31.25 W
2, 2019/09/06 14:13:25.778, 33.18 W
0, 2019/09/06 14:13:27.867, 29.77 W
1, 2019/09/06 14:13:27.872, 31.49 W
2, 2019/09/06 14:13:27.877, 33.18 W
0, 2019/09/06 14:13:29.882, 29.77 W
1, 2019/09/06 14:13:29.886, 31.49 W
2, 2019/09/06 14:13:30.167, 32.95 W
0, 2019/09/06 14:13:32.172, 30.26 W
1, 2019/09/06 14:13:32.176, 36.13 W
2, 2019/09/06 14:13:32.181, 32.69 W
0, 2019/09/06 14:13:34.185, 29.77 W
1, 2019/09/06 14:13:34.191, 37.10 W
2, 2019/09/06 14:13:34.195, 33.19 W
0, 2019/09/06 14:13:36.200, 30.01 W
1, 2019/09/06 14:13:36.267, 31.98 W
2, 2019/09/06 14:13:36.467, 33.18 W
0, 2019/09/06 14:13:38.478, 31.24 W
1, 2019/09/06 14:13:38.567, 31.73 W
2, 2019/09/06 14:13:38.571, 33.18 W
0, 2019/09/06 14:13:40.576, 31.48 W
1, 2019/09/06 14:13:40.580, 31.73 W
2, 2019/09/06 14:13:40.586, 33.18 W
0, 2019/09/06 14:13:42.590, 31.48 W
1, 2019/09/06 14:13:42.867, 31.73 W
2, 2019/09/06 14:13:43.067, 33.18 W
0, 2019/09/06 14:13:45.074, 31.72 W
1, 2019/09/06 14:13:45.078, 31.49 W
2, 2019/09/06 14:13:45.167, 33.18 W
0, 2019/09/06 14:13:47.173, 31.97 W
1, 2019/09/06 14:13:47.378, 31.49 W
2, 2019/09/06 14:13:47.383, 34.40 W
0, 2019/09/06 14:13:49.467, 32.94 W
1, 2019/09/06 14:13:49.768, 31.49 W
2, 2019/09/06 14:13:49.772, 32.94 W
0, 2019/09/06 14:13:51.777, 32.94 W
1, 2019/09/06 14:13:51.781, 35.88 W
2, 2019/09/06 14:13:51.867, 33.18 W
0, 2019/09/06 14:13:53.874, 32.94 W
1, 2019/09/06 14:13:53.879, 35.88 W
2, 2019/09/06 14:13:53.886, 33.18 W
0, 2019/09/06 14:13:55.890, 32.70 W
1, 2019/09/06 14:13:55.896, 35.88 W
2, 2019/09/06 14:13:55.967, 32.69 W
0, 2019/09/06 14:13:57.974, 32.94 W
1, 2019/09/06 14:13:57.978, 35.88 W
2, 2019/09/06 14:13:58.067, 32.69 W
0, 2019/09/06 14:14:00.073, 32.94 W
1, 2019/09/06 14:14:00.078, 35.88 W
2, 2019/09/06 14:14:00.167, 32.69 W
0, 2019/09/06 14:14:02.172, 32.94 W
1, 2019/09/06 14:14:02.178, 35.88 W
2, 2019/09/06 14:14:02.267, 32.94 W
0, 2019/09/06 14:14:04.274, 32.70 W
1, 2019/09/06 14:14:04.278, 35.88 W
2, 2019/09/06 14:14:04.367, 32.69 W
0, 2019/09/06 14:14:06.372, 33.92 W
1, 2019/09/06 14:14:06.377, 35.88 W
2, 2019/09/06 14:14:06.381, 32.94 W
0, 2019/09/06 14:14:08.386, 33.92 W
1, 2019/09/06 14:14:08.467, 35.88 W
2, 2019/09/06 14:14:08.471, 32.71 W
0, 2019/09/06 14:14:10.476, 30.50 W
1, 2019/09/06 14:14:10.481, 35.88 W
2, 2019/09/06 14:14:10.486, 32.94 W
0, 2019/09/06 14:14:12.567, 31.24 W
1, 2019/09/06 14:14:12.572, 35.88 W
2, 2019/09/06 14:14:12.577, 32.94 W
0, 2019/09/06 14:14:14.667, 31.72 W
1, 2019/09/06 14:14:14.671, 35.88 W
2, 2019/09/06 14:14:14.676, 33.18 W
0, 2019/09/06 14:14:16.767, 31.94 W
1, 2019/09/06 14:14:16.772, 181.82 W
2, 2019/09/06 14:14:16.777, 32.90 W
0, 2019/09/06 14:14:18.781, 31.97 W
1, 2019/09/06 14:14:18.786, 37.10 W
2, 2019/09/06 14:14:18.790, 32.69 W
0, 2019/09/06 14:14:20.795, 31.72 W
1, 2019/09/06 14:14:20.800, 36.86 W
2, 2019/09/06 14:14:20.807, 33.18 W
0, 2019/09/06 14:14:22.811, 31.72 W
1, 2019/09/06 14:14:22.867, 36.86 W
2, 2019/09/06 14:14:22.872, 33.18 W
0, 2019/09/06 14:14:24.877, 31.48 W
1, 2019/09/06 14:14:24.967, 31.73 W
2, 2019/09/06 14:14:24.973, 32.94 W
0, 2019/09/06 14:14:26.977, 31.72 W
1, 2019/09/06 14:14:27.067, 31.73 W
2, 2019/09/06 14:14:27.072, 32.94 W
0, 2019/09/06 14:14:29.077, 31.24 W
1, 2019/09/06 14:14:29.167, 31.73 W
2, 2019/09/06 14:14:29.367, 33.18 W
0, 2019/09/06 14:14:31.371, 31.97 W
1, 2019/09/06 14:14:31.782, 31.73 W
2, 2019/09/06 14:14:31.867, 32.71 W
0, 2019/09/06 14:14:34.067, 31.24 W
1, 2019/09/06 14:14:34.078, 31.73 W
2, 2019/09/06 14:14:34.083, 32.94 W
0, 2019/09/06 14:14:36.167, 31.97 W
1, 2019/09/06 14:14:36.770, 32.22 W
2, 2019/09/06 14:14:36.774, 32.94 W
0, 2019/09/06 14:14:38.782, 31.72 W
1, 2019/09/06 14:14:38.867, 31.73 W
2, 2019/09/06 14:14:38.872, 32.95 W
0, 2019/09/06 14:14:40.877, 31.97 W
1, 2019/09/06 14:14:40.882, 31.73 W
2, 2019/09/06 14:14:40.967, 32.94 W
0, 2019/09/06 14:14:42.971, 31.72 W
1, 2019/09/06 14:14:42.975, 31.73 W
2, 2019/09/06 14:14:42.980, 32.94 W
0, 2019/09/06 14:14:45.066, 31.48 W
1, 2019/09/06 14:14:45.070, 31.73 W
2, 2019/09/06 14:14:45.074, 32.94 W
0, 2019/09/06 14:14:47.079, 31.97 W
1, 2019/09/06 14:14:47.167, 31.73 W
2, 2019/09/06 14:14:47.367, 32.95 W
0, 2019/09/06 14:14:49.371, 31.97 W
1, 2019/09/06 14:14:49.775, 31.73 W
2, 2019/09/06 14:14:49.780, 33.19 W
0, 2019/09/06 14:14:51.867, 31.72 W
1, 2019/09/06 14:14:51.872, 31.73 W
2, 2019/09/06 14:14:51.876, 32.94 W
0, 2019/09/06 14:14:53.881, 31.72 W
1, 2019/09/06 14:14:53.888, 31.73 W
2, 2019/09/06 14:14:53.967, 32.94 W
0, 2019/09/06 14:14:55.972, 31.97 W
1, 2019/09/06 14:14:55.977, 31.73 W
2, 2019/09/06 14:14:56.067, 32.94 W
0, 2019/09/06 14:14:58.072, 30.50 W
1, 2019/09/06 14:14:58.077, 31.73 W
2, 2019/09/06 14:14:58.081, 33.18 W
0, 2019/09/06 14:15:00.167, 30.01 W
1, 2019/09/06 14:15:00.172, 38.56 W
2, 2019/09/06 14:15:00.176, 32.71 W
0, 2019/09/06 14:15:02.181, 30.01 W
1, 2019/09/06 14:15:02.185, 37.83 W
2, 2019/09/06 14:15:02.189, 33.19 W
0, 2019/09/06 14:15:04.194, 29.50 W
1, 2019/09/06 14:15:04.199, 193.43 W
2, 2019/09/06 14:15:04.204, 33.15 W
0, 2019/09/06 14:15:06.209, 29.75 W
1, 2019/09/06 14:15:06.213, 190.79 W
2, 2019/09/06 14:15:06.217, 33.17 W
0, 2019/09/06 14:15:08.224, 31.72 W
1, 2019/09/06 14:15:08.229, 37.83 W
2, 2019/09/06 14:15:08.234, 32.94 W
0, 2019/09/06 14:15:10.239, 31.97 W
1, 2019/09/06 14:15:10.243, 32.22 W
2, 2019/09/06 14:15:10.248, 33.18 W
0, 2019/09/06 14:15:12.252, 31.97 W
1, 2019/09/06 14:15:12.257, 32.22 W
2, 2019/09/06 14:15:12.262, 32.69 W
0, 2019/09/06 14:15:14.266, 31.97 W
1, 2019/09/06 14:15:14.271, 32.22 W
2, 2019/09/06 14:15:14.276, 32.71 W
0, 2019/09/06 14:15:16.282, 31.72 W
1, 2019/09/06 14:15:16.288, 32.22 W
2, 2019/09/06 14:15:16.293, 32.71 W
0, 2019/09/06 14:15:18.298, 31.72 W
1, 2019/09/06 14:15:18.303, 31.98 W
2, 2019/09/06 14:15:18.308, 33.18 W
0, 2019/09/06 14:15:20.313, 31.97 W
1, 2019/09/06 14:15:20.367, 31.98 W
2, 2019/09/06 14:15:20.372, 32.94 W
0, 2019/09/06 14:15:22.377, 31.48 W
1, 2019/09/06 14:15:22.382, 31.98 W
2, 2019/09/06 14:15:22.386, 33.18 W
0, 2019/09/06 14:15:24.467, 31.72 W
1, 2019/09/06 14:15:24.472, 31.98 W
2, 2019/09/06 14:15:24.475, 33.18 W
0, 2019/09/06 14:15:26.482, 31.72 W
1, 2019/09/06 14:15:26.567, 31.98 W
2, 2019/09/06 14:15:26.571, 33.19 W
0, 2019/09/06 14:15:28.575, 31.24 W
1, 2019/09/06 14:15:28.667, 31.98 W
2, 2019/09/06 14:15:28.671, 32.69 W
0, 2019/09/06 14:15:30.676, 31.72 W
1, 2019/09/06 14:15:30.680, 31.98 W
2, 2019/09/06 14:15:30.685, 32.94 W
0, 2019/09/06 14:15:32.766, 31.72 W
1, 2019/09/06 14:15:32.883, 31.98 W
2, 2019/09/06 14:15:32.887, 32.94 W
0, 2019/09/06 14:15:34.966, 31.72 W
1, 2019/09/06 14:15:35.270, 31.98 W
2, 2019/09/06 14:15:35.277, 33.18 W
0, 2019/09/06 14:15:37.281, 31.72 W
1, 2019/09/06 14:15:37.871, 31.98 W
2, 2019/09/06 14:15:37.876, 32.94 W
0, 2019/09/06 14:15:39.883, 32.94 W
1, 2019/09/06 14:15:40.075, 34.17 W
2, 2019/09/06 14:15:40.167, 33.18 W
0, 2019/09/06 14:15:42.367, 32.46 W
1, 2019/09/06 14:15:42.867, 34.17 W
2, 2019/09/06 14:15:43.079, 32.94 W
0, 2019/09/06 14:15:45.167, 30.26 W
1, 2019/09/06 14:15:45.767, 34.17 W
2, 2019/09/06 14:15:45.967, 32.69 W
0, 2019/09/06 14:15:47.971, 31.48 W
1, 2019/09/06 14:15:47.999, 34.17 W
2, 2019/09/06 14:15:48.067, 33.18 W
0, 2019/09/06 14:15:50.679, 31.97 W
1, 2019/09/06 14:15:50.867, 34.17 W
2, 2019/09/06 14:15:50.872, 33.18 W
0, 2019/09/06 14:15:52.878, 31.97 W
1, 2019/09/06 14:15:52.967, 34.17 W
2, 2019/09/06 14:15:52.972, 33.18 W
0, 2019/09/06 14:15:54.978, 31.48 W
1, 2019/09/06 14:15:54.984, 34.17 W
2, 2019/09/06 14:15:54.991, 33.19 W
0, 2019/09/06 14:15:57.072, 31.97 W
1, 2019/09/06 14:15:57.076, 31.98 W
