alpha,bias,degree,num_features,proj_time,projection,regr_time,scale,test_score,val_score
1e-06,0.0,4.0,10000.0,0.18485665321350098,opu,1.354499340057373,1e-10,0.7293,0.7368333333333333
1e-06,0.0,4.0,10000.0,0.18444013595581055,opu,1.35475754737854,1e-08,0.8778,0.886
1e-06,0.0,4.0,10000.0,0.18564724922180176,opu,1.3475205898284912,1e-06,0.8764,0.8830833333333333
1e-06,0.0,4.0,10000.0,0.2896718978881836,opu,1.3449833393096924,0.0001,0.877,0.88275
1e-06,0.0,4.0,10000.0,0.18703699111938477,opu,1.4075918197631836,0.01,0.8775,0.8835
1e-06,0.0,4.0,10000.0,0.25414395332336426,opu,1.3588149547576904,1.0,0.8756,0.87825
1e-06,1.0,4.0,10000.0,0.18677210807800293,opu,1.3419625759124756,1e-10,0.7261,0.7350833333333333
1e-06,1.0,4.0,10000.0,0.20407319068908691,opu,1.3632454872131348,1e-08,0.8785,0.8856666666666667
1e-06,1.0,4.0,10000.0,0.19202947616577148,opu,1.3413584232330322,1e-06,0.8758,0.8795833333333334
1e-06,1.0,4.0,10000.0,0.18664860725402832,opu,1.3497707843780518,0.0001,0.8788,0.8819166666666667
1e-06,1.0,4.0,10000.0,0.2578451633453369,opu,1.3762545585632324,0.01,0.8778,0.8825
1e-06,1.0,4.0,10000.0,0.18830657005310059,opu,1.3923218250274658,1.0,0.8764,0.8816666666666667
1e-06,4.0,4.0,10000.0,0.3014063835144043,opu,1.3290314674377441,1e-10,0.7394,0.754
1e-06,4.0,4.0,10000.0,0.19241642951965332,opu,1.346191167831421,1e-08,0.8804,0.8818333333333334
1e-06,4.0,4.0,10000.0,0.18554329872131348,opu,1.3510713577270508,1e-06,0.8789,0.8825833333333334
1e-06,4.0,4.0,10000.0,0.18630313873291016,opu,1.343548059463501,0.0001,0.8763,0.88225
1e-06,4.0,4.0,10000.0,0.1848907470703125,opu,1.4047729969024658,0.01,0.8743,0.8849166666666667
1e-06,4.0,4.0,10000.0,0.18561387062072754,opu,1.3480730056762695,1.0,0.8741,0.88275
1e-06,16.0,4.0,10000.0,0.18414783477783203,opu,1.3505394458770752,1e-10,0.7999,0.8110833333333334
1e-06,16.0,4.0,10000.0,0.18636608123779297,opu,1.355238914489746,1e-08,0.881,0.8835833333333334
1e-06,16.0,4.0,10000.0,0.18516945838928223,opu,1.3501300811767578,1e-06,0.8801,0.887
1e-06,16.0,4.0,10000.0,0.18982434272766113,opu,1.3561007976531982,0.0001,0.8784,0.8838333333333334
1e-06,16.0,4.0,10000.0,0.18501782417297363,opu,1.354008436203003,0.01,0.8762,0.8874166666666666
1e-06,16.0,4.0,10000.0,0.18534064292907715,opu,1.3187496662139893,1.0,0.8778,0.8850833333333333
1e-06,64.0,4.0,10000.0,0.184675931930542,opu,1.3459751605987549,1e-10,0.8605,0.8653333333333333
1e-06,64.0,4.0,10000.0,0.0,opu,0.0,1e-08,0.0,0.0
1e-06,64.0,4.0,10000.0,0.0,opu,0.0,1e-06,0.0,0.0
1e-06,64.0,4.0,10000.0,0.0,opu,0.0,0.0001,0.0,0.0
1e-06,64.0,4.0,10000.0,0.0,opu,0.0,0.01,0.0,0.0
1e-06,64.0,4.0,10000.0,0.0,opu,0.0,1.0,0.0,0.0
1e-06,256.0,4.0,10000.0,0.0,opu,0.0,1e-10,0.0,0.0
1e-06,256.0,4.0,10000.0,0.0,opu,0.0,1e-08,0.0,0.0
1e-06,256.0,4.0,10000.0,0.0,opu,0.0,1e-06,0.0,0.0
1e-06,256.0,4.0,10000.0,0.0,opu,0.0,0.0001,0.0,0.0
1e-06,256.0,4.0,10000.0,0.0,opu,0.0,0.01,0.0,0.0
1e-06,256.0,4.0,10000.0,0.0,opu,0.0,1.0,0.0,0.0
0.1,0.0,4.0,10000.0,0.18578433990478516,opu,1.385890245437622,1e-10,0.1087,0.112
0.1,0.0,4.0,10000.0,0.18455100059509277,opu,1.3469388484954834,1e-08,0.6508,0.6733333333333333
0.1,0.0,4.0,10000.0,0.18538379669189453,opu,1.3353054523468018,1e-06,0.8703,0.8766666666666667
0.1,0.0,4.0,10000.0,0.18498468399047852,opu,1.3240089416503906,0.0001,0.8758,0.8795
0.1,0.0,4.0,10000.0,0.2522566318511963,opu,1.3586938381195068,0.01,0.8791,0.8798333333333334
0.1,0.0,4.0,10000.0,0.27564167976379395,opu,1.3572030067443848,1.0,0.8794,0.885
0.1,1.0,4.0,10000.0,0.2496185302734375,opu,1.3474462032318115,1e-10,0.1034,0.10708333333333334
0.1,1.0,4.0,10000.0,0.2863154411315918,opu,1.345726728439331,1e-08,0.6585,0.6684166666666667
0.1,1.0,4.0,10000.0,0.26659607887268066,opu,1.363490104675293,1e-06,0.8727,0.8766666666666667
0.1,1.0,4.0,10000.0,0.18441152572631836,opu,1.4078288078308105,0.0001,0.8754,0.8876666666666667
0.1,1.0,4.0,10000.0,0.1841907501220703,opu,1.3495819568634033,0.01,0.8762,0.88525
0.1,1.0,4.0,10000.0,0.18496227264404297,opu,1.3503549098968506,1.0,0.8765,0.8841666666666667
0.1,4.0,4.0,10000.0,0.1854395866394043,opu,1.3237197399139404,1e-10,0.1163,0.11575
0.1,4.0,4.0,10000.0,0.18518590927124023,opu,1.327186107635498,1e-08,0.6603,0.6720833333333334
0.1,4.0,4.0,10000.0,0.18470978736877441,opu,1.323315143585205,1e-06,0.8741,0.8809166666666667
0.1,4.0,4.0,10000.0,0.18508648872375488,opu,1.358292818069458,0.0001,0.8759,0.8818333333333334
0.1,4.0,4.0,10000.0,0.18383216857910156,opu,1.3489248752593994,0.01,0.8781,0.8834166666666666
0.1,4.0,4.0,10000.0,0.18710994720458984,opu,1.3374311923980713,1.0,0.8787,0.8833333333333333
0.1,16.0,4.0,10000.0,0.1848890781402588,opu,1.4082388877868652,1e-10,0.1318,0.13133333333333333
0.1,16.0,4.0,10000.0,0.18541646003723145,opu,1.3482728004455566,1e-08,0.7359,0.74475
0.1,16.0,4.0,10000.0,0.18356871604919434,opu,1.3597025871276855,1e-06,0.8757,0.8810833333333333
0.1,16.0,4.0,10000.0,0.18681621551513672,opu,1.3442585468292236,0.0001,0.8817,0.8855833333333333
0.1,16.0,4.0,10000.0,0.2522735595703125,opu,1.3498125076293945,0.01,0.8812,0.8848333333333334
0.1,16.0,4.0,10000.0,0.25109267234802246,opu,1.3537318706512451,1.0,0.8816,0.8884166666666666
0.1,64.0,4.0,10000.0,0.20152068138122559,opu,1.3139708042144775,1e-10,0.6356,0.6380833333333333
0.1,64.0,4.0,10000.0,0.18442869186401367,opu,1.3573617935180664,1e-08,0.8378,0.8444166666666667
0.1,64.0,4.0,10000.0,0.0,opu,0.0,1e-06,0.0,0.0
0.1,64.0,4.0,10000.0,0.0,opu,0.0,0.0001,0.0,0.0
0.1,64.0,4.0,10000.0,0.0,opu,0.0,0.01,0.0,0.0
0.1,64.0,4.0,10000.0,0.0,opu,0.0,1.0,0.0,0.0
0.1,256.0,4.0,10000.0,0.1851520538330078,opu,1.3493423461914062,1e-10,0.8144,0.8195833333333333
0.1,256.0,4.0,10000.0,0.0,opu,0.0,1e-08,0.0,0.0
0.1,256.0,4.0,10000.0,0.0,opu,0.0,1e-06,0.0,0.0
0.1,256.0,4.0,10000.0,0.0,opu,0.0,0.0001,0.0,0.0
0.1,256.0,4.0,10000.0,0.0,opu,0.0,0.01,0.0,0.0
0.1,256.0,4.0,10000.0,0.0,opu,0.0,1.0,0.0,0.0
1.0,0.0,4.0,10000.0,0.18744802474975586,opu,1.4043924808502197,1e-10,0.138,0.13866666666666666
1.0,0.0,4.0,10000.0,0.1975116729736328,opu,1.3393936157226562,1e-08,0.3531,0.35408333333333336
1.0,0.0,4.0,10000.0,0.18613409996032715,opu,1.3552474975585938,1e-06,0.8543,0.8598333333333333
1.0,0.0,4.0,10000.0,0.26781249046325684,opu,1.3479244709014893,0.0001,0.8748,0.8796666666666667
1.0,0.0,4.0,10000.0,0.20771431922912598,opu,1.3931682109832764,0.01,0.8758,0.88625
1.0,0.0,4.0,10000.0,0.24999523162841797,opu,1.357546091079712,1.0,0.878,0.8810833333333333
1.0,1.0,4.0,10000.0,0.29731321334838867,opu,1.3395795822143555,1e-10,0.1039,0.10091666666666667
1.0,1.0,4.0,10000.0,0.18530678749084473,opu,1.4134008884429932,1e-08,0.3817,0.3955
1.0,1.0,4.0,10000.0,0.24980568885803223,opu,1.367335319519043,1e-06,0.8561,0.857
1.0,1.0,4.0,10000.0,0.19146251678466797,opu,1.347705602645874,0.0001,0.8806,0.8824166666666666
1.0,1.0,4.0,10000.0,0.2833824157714844,opu,1.354346513748169,0.01,0.8778,0.8771666666666667
1.0,1.0,4.0,10000.0,0.1929173469543457,opu,1.4066314697265625,1.0,0.8771,0.88525
1.0,4.0,4.0,10000.0,0.1966686248779297,opu,1.3751626014709473,1e-10,0.1029,0.09966666666666667
1.0,4.0,4.0,10000.0,0.290118932723999,opu,1.386037826538086,1e-08,0.3799,0.38675
1.0,4.0,4.0,10000.0,0.26001572608947754,opu,1.3809285163879395,1e-06,0.8553,0.86425
1.0,4.0,4.0,10000.0,0.25174927711486816,opu,1.330899715423584,0.0001,0.8758,0.8830833333333333
1.0,4.0,4.0,10000.0,0.1845099925994873,opu,1.3219833374023438,0.01,0.8782,0.8839166666666667
1.0,4.0,4.0,10000.0,0.19199204444885254,opu,1.362415075302124,1.0,0.8764,0.8801666666666667
1.0,16.0,4.0,10000.0,0.18392086029052734,opu,1.3514175415039062,1e-10,0.1323,0.13558333333333333
1.0,16.0,4.0,10000.0,0.18435168266296387,opu,1.3388607501983643,1e-08,0.6428,0.65475
1.0,16.0,4.0,10000.0,0.18657493591308594,opu,1.3410251140594482,1e-06,0.8643,0.8723333333333333
1.0,16.0,4.0,10000.0,0.18500471115112305,opu,1.324293851852417,0.0001,0.8804,0.88025
1.0,16.0,4.0,10000.0,0.18676161766052246,opu,1.3507049083709717,0.01,0.8813,0.88775
1.0,16.0,4.0,10000.0,0.18527436256408691,opu,1.3496780395507812,1.0,0.8801,0.88175
1.0,64.0,4.0,10000.0,0.18399572372436523,opu,1.3606412410736084,1e-10,0.5446,0.5450833333333334
1.0,64.0,4.0,10000.0,0.18570303916931152,opu,1.3510727882385254,1e-08,0.8122,0.8233333333333334
1.0,64.0,4.0,10000.0,0.0,opu,0.0,1e-06,0.0,0.0
1.0,64.0,4.0,10000.0,0.0,opu,0.0,0.0001,0.0,0.0
1.0,64.0,4.0,10000.0,0.0,opu,0.0,0.01,0.0,0.0
1.0,64.0,4.0,10000.0,0.0,opu,0.0,1.0,0.0,0.0
1.0,256.0,4.0,10000.0,0.18405604362487793,opu,1.3662242889404297,1e-10,0.797,0.806
1.0,256.0,4.0,10000.0,0.0,opu,0.0,1e-08,0.0,0.0
1.0,256.0,4.0,10000.0,0.0,opu,0.0,1e-06,0.0,0.0
1.0,256.0,4.0,10000.0,0.0,opu,0.0,0.0001,0.0,0.0
1.0,256.0,4.0,10000.0,0.0,opu,0.0,0.01,0.0,0.0
1.0,256.0,4.0,10000.0,0.0,opu,0.0,1.0,0.0,0.0
10.0,0.0,4.0,10000.0,0.18481707572937012,opu,1.3738327026367188,1e-10,0.1203,0.12266666666666666
10.0,0.0,4.0,10000.0,0.18947958946228027,opu,1.3459053039550781,1e-08,0.1577,0.15766666666666668
10.0,0.0,4.0,10000.0,0.18999767303466797,opu,1.3297455310821533,1e-06,0.8039,0.8103333333333333
10.0,0.0,4.0,10000.0,0.18363642692565918,opu,1.3374748229980469,0.0001,0.8794,0.8796666666666667
10.0,0.0,4.0,10000.0,0.18323755264282227,opu,1.3540961742401123,0.01,0.878,0.8795833333333334
10.0,0.0,4.0,10000.0,0.1839447021484375,opu,1.3565714359283447,1.0,0.8795,0.88325
10.0,1.0,4.0,10000.0,0.18654990196228027,opu,1.3440628051757812,1e-10,0.1066,0.10608333333333334
10.0,1.0,4.0,10000.0,0.18380379676818848,opu,1.352217674255371,1e-08,0.1897,0.19016666666666668
10.0,1.0,4.0,10000.0,0.1846332550048828,opu,1.353835105895996,1e-06,0.8037,0.8085
10.0,1.0,4.0,10000.0,0.24990153312683105,opu,1.3759629726409912,0.0001,0.8784,0.8768333333333334
10.0,1.0,4.0,10000.0,0.18724656105041504,opu,1.3536839485168457,0.01,0.8803,0.8805
10.0,1.0,4.0,10000.0,0.18460369110107422,opu,1.3600597381591797,1.0,0.8762,0.88425
10.0,4.0,4.0,10000.0,0.18543529510498047,opu,1.3559470176696777,1e-10,0.155,0.15566666666666668
10.0,4.0,4.0,10000.0,0.19347238540649414,opu,1.3474986553192139,1e-08,0.186,0.19
10.0,4.0,4.0,10000.0,0.18686747550964355,opu,1.3541817665100098,1e-06,0.8107,0.82125
10.0,4.0,4.0,10000.0,0.18296575546264648,opu,1.371406078338623,0.0001,0.8805,0.8820833333333333
10.0,4.0,4.0,10000.0,0.24942874908447266,opu,1.36677885055542,0.01,0.8762,0.87825
10.0,4.0,4.0,10000.0,0.2482748031616211,opu,1.3587617874145508,1.0,0.8785,0.8834166666666666
10.0,16.0,4.0,10000.0,0.19411230087280273,opu,1.3932442665100098,1e-10,0.1158,0.119
10.0,16.0,4.0,10000.0,0.1837780475616455,opu,1.3507590293884277,1e-08,0.3285,0.3318333333333333
10.0,16.0,4.0,10000.0,0.1830754280090332,opu,1.352769136428833,1e-06,0.8446,0.85375
10.0,16.0,4.0,10000.0,0.2552931308746338,opu,1.4023191928863525,0.0001,0.8815,0.8906666666666667
10.0,16.0,4.0,10000.0,0.18922114372253418,opu,1.3552391529083252,0.01,0.8803,0.8844166666666666
10.0,16.0,4.0,10000.0,0.18719053268432617,opu,1.3619270324707031,1.0,0.8805,0.88475
10.0,64.0,4.0,10000.0,0.18824267387390137,opu,1.3476331233978271,1e-10,0.2131,0.21033333333333334
10.0,64.0,4.0,10000.0,0.1894080638885498,opu,1.3580858707427979,1e-08,0.7864,0.796
10.0,64.0,4.0,10000.0,0.2608487606048584,opu,1.4729561805725098,1e-06,0.8694,0.8734166666666666
10.0,64.0,4.0,10000.0,0.0,opu,0.0,0.0001,0.0,0.0
10.0,64.0,4.0,10000.0,0.0,opu,0.0,0.01,0.0,0.0
10.0,64.0,4.0,10000.0,0.0,opu,0.0,1.0,0.0,0.0
10.0,256.0,4.0,10000.0,0.18503785133361816,opu,1.3594987392425537,1e-10,0.7623,0.772
10.0,256.0,4.0,10000.0,0.0,opu,0.0,1e-08,0.0,0.0
10.0,256.0,4.0,10000.0,0.0,opu,0.0,1e-06,0.0,0.0
10.0,256.0,4.0,10000.0,0.0,opu,0.0,0.0001,0.0,0.0
10.0,256.0,4.0,10000.0,0.0,opu,0.0,0.01,0.0,0.0
10.0,256.0,4.0,10000.0,0.0,opu,0.0,1.0,0.0,0.0
100.0,0.0,4.0,10000.0,0.1840059757232666,opu,1.407418966293335,1e-10,0.1197,0.11875
100.0,0.0,4.0,10000.0,0.18749499320983887,opu,1.3775107860565186,1e-08,0.1218,0.12075
100.0,0.0,4.0,10000.0,0.24944734573364258,opu,1.3694851398468018,1e-06,0.7266,0.7391666666666666
100.0,0.0,4.0,10000.0,0.24953126907348633,opu,1.403611660003662,0.0001,0.8764,0.88275
100.0,0.0,4.0,10000.0,0.18450379371643066,opu,1.3592925071716309,0.01,0.8768,0.88075
100.0,0.0,4.0,10000.0,0.25388574600219727,opu,1.3433516025543213,1.0,0.8766,0.8820833333333333
100.0,1.0,4.0,10000.0,0.18595051765441895,opu,1.3487277030944824,1e-10,0.1023,0.1005
100.0,1.0,4.0,10000.0,0.18418550491333008,opu,1.354832410812378,1e-08,0.1012,0.10175
100.0,1.0,4.0,10000.0,0.25314903259277344,opu,1.3543872833251953,1e-06,0.7278,0.7359166666666667
100.0,1.0,4.0,10000.0,0.24794554710388184,opu,1.3959977626800537,0.0001,0.8775,0.8821666666666667
100.0,1.0,4.0,10000.0,0.18783283233642578,opu,1.4101581573486328,0.01,0.8743,0.8808333333333334
100.0,1.0,4.0,10000.0,0.18444013595581055,opu,1.3476028442382812,1.0,0.877,0.8836666666666667
100.0,4.0,4.0,10000.0,0.18068456649780273,opu,1.3517677783966064,1e-10,0.1056,0.103
100.0,4.0,4.0,10000.0,0.18616557121276855,opu,1.3421497344970703,1e-08,0.1022,0.10316666666666667
100.0,4.0,4.0,10000.0,0.18543195724487305,opu,1.3497204780578613,1e-06,0.7323,0.7493333333333333
100.0,4.0,4.0,10000.0,0.1840505599975586,opu,1.3459856510162354,0.0001,0.8789,0.8876666666666667
100.0,4.0,4.0,10000.0,0.19463419914245605,opu,1.3366966247558594,0.01,0.8788,0.884
100.0,4.0,4.0,10000.0,0.1867084503173828,opu,1.3547801971435547,1.0,0.8815,0.8831666666666667
100.0,16.0,4.0,10000.0,0.18674087524414062,opu,1.3491227626800537,1e-10,0.1682,0.16891666666666666
100.0,16.0,4.0,10000.0,0.1839303970336914,opu,1.3539059162139893,1e-08,0.191,0.1965
100.0,16.0,4.0,10000.0,0.18393564224243164,opu,1.3559298515319824,1e-06,0.8051,0.8180833333333334
100.0,16.0,4.0,10000.0,0.33498668670654297,opu,1.3835535049438477,0.0001,0.8812,0.8849166666666667
100.0,16.0,4.0,10000.0,0.30579257011413574,opu,1.3756446838378906,0.01,0.8789,0.88075
100.0,16.0,4.0,10000.0,0.18738293647766113,opu,1.388166904449463,1.0,0.8819,0.8828333333333334
100.0,64.0,4.0,10000.0,0.18368911743164062,opu,1.3736822605133057,1e-10,0.2657,0.2625
100.0,64.0,4.0,10000.0,0.20518112182617188,opu,1.3886735439300537,1e-08,0.7202,0.7255833333333334
100.0,64.0,4.0,10000.0,0.18458056449890137,opu,1.348318099975586,1e-06,0.8618,0.8670833333333333
100.0,64.0,4.0,10000.0,0.0,opu,0.0,0.0001,0.0,0.0
100.0,64.0,4.0,10000.0,0.0,opu,0.0,0.01,0.0,0.0
100.0,64.0,4.0,10000.0,0.0,opu,0.0,1.0,0.0,0.0
100.0,256.0,4.0,10000.0,0.1873912811279297,opu,1.3823575973510742,1e-10,0.6773,0.6868333333333333
100.0,256.0,4.0,10000.0,0.0,opu,0.0,1e-08,0.0,0.0
100.0,256.0,4.0,10000.0,0.0,opu,0.0,1e-06,0.0,0.0
100.0,256.0,4.0,10000.0,0.0,opu,0.0,0.0001,0.0,0.0
100.0,256.0,4.0,10000.0,0.0,opu,0.0,0.01,0.0,0.0
100.0,256.0,4.0,10000.0,0.0,opu,0.0,1.0,0.0,0.0
1000.0,0.0,4.0,10000.0,0.18813276290893555,opu,1.3753371238708496,1e-10,0.1054,0.10366666666666667
1000.0,0.0,4.0,10000.0,0.19041132926940918,opu,1.346010684967041,1e-08,0.1009,0.09933333333333333
1000.0,0.0,4.0,10000.0,0.18709826469421387,opu,1.3503999710083008,1e-06,0.6551,0.66925
1000.0,0.0,4.0,10000.0,0.18712139129638672,opu,1.3511755466461182,0.0001,0.8712,0.87325
1000.0,0.0,4.0,10000.0,0.1878800392150879,opu,1.3523859977722168,0.01,0.8769,0.8809166666666667
1000.0,0.0,4.0,10000.0,0.19078731536865234,opu,1.3483622074127197,1.0,0.8752,0.8835
1000.0,1.0,4.0,10000.0,0.2811102867126465,opu,1.354140281677246,1e-10,0.1016,0.10008333333333333
1000.0,1.0,4.0,10000.0,0.18480873107910156,opu,1.3711695671081543,1e-08,0.1012,0.09991666666666667
1000.0,1.0,4.0,10000.0,0.1988205909729004,opu,1.4087541103363037,1e-06,0.6561,0.6676666666666666
1000.0,1.0,4.0,10000.0,0.18928098678588867,opu,1.3584234714508057,0.0001,0.8708,0.88275
1000.0,1.0,4.0,10000.0,0.1842954158782959,opu,1.364938497543335,0.01,0.8764,0.8868333333333334
1000.0,1.0,4.0,10000.0,0.18538999557495117,opu,1.3603789806365967,1.0,0.8784,0.8848333333333334
1000.0,4.0,4.0,10000.0,0.18460488319396973,opu,1.3612322807312012,1e-10,0.1027,0.10358333333333333
1000.0,4.0,4.0,10000.0,0.19121551513671875,opu,1.3475403785705566,1e-08,0.1047,0.10675
1000.0,4.0,4.0,10000.0,0.18493103981018066,opu,1.3763210773468018,1e-06,0.661,0.67325
1000.0,4.0,4.0,10000.0,0.4014451503753662,opu,1.3369252681732178,0.0001,0.8708,0.8835833333333334
1000.0,4.0,4.0,10000.0,0.18335318565368652,opu,1.4018080234527588,0.01,0.8787,0.8843333333333333
1000.0,4.0,4.0,10000.0,0.18656349182128906,opu,1.3516550064086914,1.0,0.877,0.88725
1000.0,16.0,4.0,10000.0,0.18731188774108887,opu,1.3545019626617432,1e-10,0.1,0.09733333333333333
1000.0,16.0,4.0,10000.0,0.1889491081237793,opu,1.341883659362793,1e-08,0.1041,0.10641666666666667
