alpha,bias,degree,num_features,precomputed,proj_time,projection,raw_features,regr_time,scale,test_score,val_score
1e-06,0.0,4.0,10000.0,1.0,7.732235431671143,opu_physical,0.0,21.491523265838623,1e-10,0.6739,0.68575
1e-06,0.0,4.0,10000.0,1.0,8.366064548492432,opu_physical,0.0,22.987279176712036,1e-08,0.8707,0.874
1e-06,0.0,4.0,10000.0,1.0,8.448488712310791,opu_physical,0.0,20.62462830543518,1e-06,0.8741,0.8764166666666666
1e-06,0.0,4.0,10000.0,1.0,8.498129844665527,opu_physical,0.0,21.27496314048767,0.0001,0.8735,0.8815
1e-06,0.0,4.0,10000.0,1.0,7.963209629058838,opu_physical,0.0,20.703110456466675,0.01,0.8731,0.8749166666666667
1e-06,0.0,4.0,10000.0,1.0,8.467507123947144,opu_physical,0.0,22.587043285369873,1.0,0.8714,0.8753333333333333
0.1,0.0,4.0,10000.0,1.0,10.225152969360352,opu_physical,0.0,21.069998502731323,1e-10,0.1135,0.11008333333333334
0.1,0.0,4.0,10000.0,1.0,8.036459684371948,opu_physical,0.0,19.91060471534729,1e-08,0.5275,0.5356666666666666
0.1,0.0,4.0,10000.0,1.0,8.435571908950806,opu_physical,0.0,20.915428161621094,1e-06,0.86,0.864
0.1,0.0,4.0,10000.0,1.0,8.50581669807434,opu_physical,0.0,19.96214461326599,0.0001,0.8717,0.8843333333333333
0.1,0.0,4.0,10000.0,1.0,7.991618633270264,opu_physical,0.0,18.11348795890808,0.01,0.8737,0.8811666666666667
0.1,0.0,4.0,10000.0,1.0,8.06469202041626,opu_physical,0.0,22.004167556762695,1.0,0.8726,0.8771666666666667
1.0,0.0,4.0,10000.0,1.0,8.502869129180908,opu_physical,0.0,23.368680238723755,1e-10,0.1159,0.11433333333333333
1.0,0.0,4.0,10000.0,1.0,8.213205814361572,opu_physical,0.0,21.921173810958862,1e-08,0.2414,0.24308333333333335
1.0,0.0,4.0,10000.0,1.0,8.45362138748169,opu_physical,0.0,19.445862293243408,1e-06,0.8308,0.8405833333333333
1.0,0.0,4.0,10000.0,1.0,8.027423620223999,opu_physical,0.0,19.747904062271118,0.0001,0.8739,0.8799166666666667
1.0,0.0,4.0,10000.0,1.0,8.473825931549072,opu_physical,0.0,21.096750497817993,0.01,0.8734,0.8815
1.0,0.0,4.0,10000.0,1.0,7.9367640018463135,opu_physical,0.0,21.060637712478638,1.0,0.8723,0.8774166666666666
10.0,0.0,4.0,10000.0,1.0,8.471699714660645,opu_physical,0.0,20.896036624908447,1e-10,0.1161,0.11583333333333333
10.0,0.0,4.0,10000.0,1.0,8.622929096221924,opu_physical,0.0,21.591166973114014,1e-08,0.125,0.12208333333333334
10.0,0.0,4.0,10000.0,1.0,8.025738716125488,opu_physical,0.0,21.911179304122925,1e-06,0.7759,0.78875
10.0,0.0,4.0,10000.0,1.0,8.001611709594727,opu_physical,0.0,19.590001106262207,0.0001,0.8758,0.87625
10.0,0.0,4.0,10000.0,1.0,10.272049903869629,opu_physical,0.0,22.51389503479004,0.01,0.8722,0.881
10.0,0.0,4.0,10000.0,1.0,8.632009744644165,opu_physical,0.0,20.201096773147583,1.0,0.8717,0.8845
100.0,0.0,4.0,10000.0,1.0,8.529703140258789,opu_physical,0.0,19.24741220474243,1e-10,0.1182,0.11683333333333333
100.0,0.0,4.0,10000.0,1.0,8.482306241989136,opu_physical,0.0,23.937381982803345,1e-08,0.1229,0.12041666666666667
100.0,0.0,4.0,10000.0,1.0,8.507900953292847,opu_physical,0.0,21.105652570724487,1e-06,0.6741,0.6895
100.0,0.0,4.0,10000.0,1.0,8.533860683441162,opu_physical,0.0,23.029608726501465,0.0001,0.8718,0.87975
100.0,0.0,4.0,10000.0,1.0,8.600948810577393,opu_physical,0.0,22.51241970062256,0.01,0.8716,0.8805
100.0,0.0,4.0,10000.0,1.0,8.115032196044922,opu_physical,0.0,19.466597318649292,1.0,0.8708,0.87775
1000.0,0.0,4.0,10000.0,1.0,8.036824464797974,opu_physical,0.0,18.62042784690857,1e-10,0.1226,0.12183333333333334
1000.0,0.0,4.0,10000.0,1.0,8.47488284111023,opu_physical,0.0,18.59035038948059,1e-08,0.1268,0.12958333333333333
1000.0,0.0,4.0,10000.0,1.0,8.486437797546387,opu_physical,0.0,21.627103328704834,1e-06,0.5301,0.5446666666666666
1000.0,0.0,4.0,10000.0,1.0,8.051906824111938,opu_physical,0.0,19.381500959396362,0.0001,0.8598,0.8669166666666667
1000.0,0.0,4.0,10000.0,1.0,10.11050534248352,opu_physical,0.0,20.140987157821655,0.01,0.876,0.8780833333333333
1000.0,0.0,4.0,10000.0,1.0,8.518534183502197,opu_physical,0.0,21.189292907714844,1.0,0.8714,0.8803333333333333
10000.0,0.0,4.0,10000.0,1.0,7.982052803039551,opu_physical,0.0,17.953356504440308,1e-10,0.1214,0.12216666666666667
10000.0,0.0,4.0,10000.0,1.0,8.461846590042114,opu_physical,0.0,19.899383544921875,1e-08,0.1169,0.11891666666666667
10000.0,0.0,4.0,10000.0,1.0,8.52582859992981,opu_physical,0.0,19.428242683410645,1e-06,0.2403,0.24475
10000.0,0.0,4.0,10000.0,1.0,9.358741521835327,opu_physical,0.0,19.714288234710693,0.0001,0.8297,0.836
10000.0,0.0,4.0,10000.0,1.0,8.501126766204834,opu_physical,0.0,18.74120831489563,0.01,0.8731,0.8776666666666667
10000.0,0.0,4.0,10000.0,1.0,10.569209337234497,opu_physical,0.0,19.513617038726807,1.0,0.8734,0.87475
