alpha,bias,degree,num_features,proj_time,projection,regr_time,scale,test_score,val_score
1e-06,0.0,2.0,10000.0,0.18398666381835938,opu,1.761728286743164,1e-05,0.8772,0.8885833333333333
1e-06,0.0,2.0,10000.0,0.1862502098083496,opu,1.8266222476959229,0.0001,0.8822,0.8878333333333334
1e-06,0.0,2.0,10000.0,0.3331010341644287,opu,1.6950526237487793,0.001,0.8778,0.8838333333333334
1e-06,0.0,2.0,10000.0,0.2817215919494629,opu,1.8054544925689697,0.01,0.878,0.8865833333333333
1e-06,0.0,2.0,10000.0,0.2803223133087158,opu,1.658742904663086,0.1,0.8751,0.8864166666666666
1e-06,0.0,2.0,10000.0,0.25455665588378906,opu,1.6581451892852783,1.0,0.879,0.8800833333333333
1e-06,1.0,2.0,10000.0,0.2530038356781006,opu,1.6533985137939453,1e-05,0.8786,0.8780833333333333
1e-06,1.0,2.0,10000.0,0.2548799514770508,opu,1.6522138118743896,0.0001,0.8767,0.8825833333333334
1e-06,1.0,2.0,10000.0,0.30742692947387695,opu,1.6824162006378174,0.001,0.8774,0.8808333333333334
1e-06,1.0,2.0,10000.0,0.2810842990875244,opu,1.6564512252807617,0.01,0.877,0.8819166666666667
1e-06,1.0,2.0,10000.0,0.18737006187438965,opu,1.6610045433044434,0.1,0.8785,0.8881666666666667
1e-06,1.0,2.0,10000.0,0.1919722557067871,opu,1.6441378593444824,1.0,0.8762,0.8810833333333333
1e-06,2.0,2.0,10000.0,0.2799699306488037,opu,1.6602702140808105,1e-05,0.8759,0.882
1e-06,2.0,2.0,10000.0,0.18698930740356445,opu,1.6560914516448975,0.0001,0.877,0.8863333333333333
1e-06,2.0,2.0,10000.0,0.28547000885009766,opu,1.708784580230713,0.001,0.8798,0.885
1e-06,2.0,2.0,10000.0,0.28034114837646484,opu,1.6523849964141846,0.01,0.8805,0.8798333333333334
1e-06,2.0,2.0,10000.0,0.2564067840576172,opu,1.6603682041168213,0.1,0.878,0.8801666666666667
1e-06,2.0,2.0,10000.0,0.1869370937347412,opu,1.8010668754577637,1.0,0.8795,0.88375
1e-06,4.0,2.0,10000.0,0.25157928466796875,opu,1.7703580856323242,1e-05,0.8761,0.8841666666666667
1e-06,4.0,2.0,10000.0,0.3381228446960449,opu,1.7983486652374268,0.0001,0.8779,0.8833333333333333
1e-06,4.0,2.0,10000.0,0.2522766590118408,opu,1.7902052402496338,0.001,0.8768,0.88375
1e-06,4.0,2.0,10000.0,0.18590140342712402,opu,1.7692959308624268,0.01,0.8787,0.8851666666666667
1e-06,4.0,2.0,10000.0,0.1846916675567627,opu,1.7496123313903809,0.1,0.8784,0.887
1e-06,4.0,2.0,10000.0,0.1899261474609375,opu,1.7604343891143799,1.0,0.8777,0.88325
1e-06,8.0,2.0,10000.0,0.2551841735839844,opu,1.6563291549682617,1e-05,0.8774,0.8816666666666667
1e-06,8.0,2.0,10000.0,0.21040010452270508,opu,1.733323335647583,0.0001,0.8757,0.88125
1e-06,8.0,2.0,10000.0,0.1869804859161377,opu,1.820359230041504,0.001,0.88,0.8815
1e-06,8.0,2.0,10000.0,0.1868910789489746,opu,1.7544641494750977,0.01,0.8768,0.8830833333333333
1e-06,8.0,2.0,10000.0,0.1862795352935791,opu,1.652998924255371,0.1,0.8796,0.88725
1e-06,8.0,2.0,10000.0,0.2481365203857422,opu,1.6663792133331299,1.0,0.8794,0.8860833333333333
1e-06,16.0,2.0,10000.0,0.25733065605163574,opu,1.651374101638794,1e-05,0.8783,0.89025
1e-06,16.0,2.0,10000.0,0.0,opu,0.0,0.0001,0.0,0.0
1e-06,16.0,2.0,10000.0,0.0,opu,0.0,0.001,0.0,0.0
1e-06,16.0,2.0,10000.0,0.0,opu,0.0,0.01,0.0,0.0
1e-06,16.0,2.0,10000.0,0.0,opu,0.0,0.1,0.0,0.0
1e-06,16.0,2.0,10000.0,0.0,opu,0.0,1.0,0.0,0.0
0.1,0.0,2.0,10000.0,0.18408513069152832,opu,1.7700579166412354,1e-05,0.6285,0.6383333333333333
0.1,0.0,2.0,10000.0,0.2525196075439453,opu,1.7687768936157227,0.0001,0.7942,0.8056666666666666
