alpha,bias,degree,num_features,precomputed,proj_time,projection,raw_features,regr_time,scale,test_score,val_score
1e-06,0.0,4.0,10000.0,1.0,7.723723411560059,opu_physical,0.0,19.33038592338562,1e-10,0.6712,0.6828333333333333
1e-06,0.0,4.0,10000.0,1.0,9.396024942398071,opu_physical,0.0,21.604838848114014,1e-08,0.8677,0.8788333333333334
1e-06,0.0,4.0,10000.0,1.0,8.541197776794434,opu_physical,0.0,19.658926248550415,1e-06,0.8711,0.8786666666666667
1e-06,0.0,4.0,10000.0,1.0,8.283124208450317,opu_physical,0.0,17.954182386398315,0.0001,0.8712,0.8771666666666667
1e-06,0.0,4.0,10000.0,1.0,7.924708843231201,opu_physical,0.0,19.443872451782227,0.01,0.872,0.8805833333333334
1e-06,0.0,4.0,10000.0,1.0,7.997197389602661,opu_physical,0.0,18.499680995941162,1.0,0.8719,0.8785
0.1,0.0,4.0,10000.0,1.0,8.401598691940308,opu_physical,0.0,17.493348598480225,1e-10,0.1055,0.10366666666666667
0.1,0.0,4.0,10000.0,1.0,7.901048183441162,opu_physical,0.0,22.513415098190308,1e-08,0.5041,0.5093333333333333
0.1,0.0,4.0,10000.0,1.0,7.955610275268555,opu_physical,0.0,18.256388664245605,1e-06,0.858,0.8684166666666666
0.1,0.0,4.0,10000.0,1.0,8.457329273223877,opu_physical,0.0,18.6465744972229,0.0001,0.8734,0.87925
0.1,0.0,4.0,10000.0,1.0,10.087575674057007,opu_physical,0.0,18.729341983795166,0.01,0.8714,0.87975
0.1,0.0,4.0,10000.0,1.0,8.479923009872437,opu_physical,0.0,20.849153518676758,1.0,0.871,0.87875
1.0,0.0,4.0,10000.0,1.0,8.016922235488892,opu_physical,0.0,19.249272346496582,1e-10,0.1059,0.10491666666666667
1.0,0.0,4.0,10000.0,1.0,8.016858339309692,opu_physical,0.0,18.89995312690735,1e-08,0.2168,0.22166666666666668
1.0,0.0,4.0,10000.0,1.0,8.15602731704712,opu_physical,0.0,21.57219409942627,1e-06,0.831,0.8404166666666667
1.0,0.0,4.0,10000.0,1.0,8.006248950958252,opu_physical,0.0,18.872037172317505,0.0001,0.874,0.8795833333333334
1.0,0.0,4.0,10000.0,1.0,8.026233673095703,opu_physical,0.0,20.47920036315918,0.01,0.8709,0.88125
1.0,0.0,4.0,10000.0,1.0,8.103305101394653,opu_physical,0.0,19.639627933502197,1.0,0.8729,0.876
10.0,0.0,4.0,10000.0,1.0,8.563579797744751,opu_physical,0.0,19.451141834259033,1e-10,0.108,0.11075
10.0,0.0,4.0,10000.0,1.0,8.979636907577515,opu_physical,0.0,18.52821636199951,1e-08,0.1218,0.12525
10.0,0.0,4.0,10000.0,1.0,8.045327425003052,opu_physical,0.0,18.893342971801758,1e-06,0.7744,0.78675
10.0,0.0,4.0,10000.0,1.0,8.021034240722656,opu_physical,0.0,21.228092432022095,0.0001,0.8742,0.8788333333333334
10.0,0.0,4.0,10000.0,1.0,7.9754393100738525,opu_physical,0.0,18.193891525268555,0.01,0.8722,0.88025
10.0,0.0,4.0,10000.0,1.0,8.553669214248657,opu_physical,0.0,23.603612184524536,1.0,0.8731,0.8809166666666667
100.0,0.0,4.0,10000.0,1.0,7.975611209869385,opu_physical,0.0,19.351951837539673,1e-10,0.1094,0.10683333333333334
100.0,0.0,4.0,10000.0,1.0,7.890803098678589,opu_physical,0.0,24.450624704360962,1e-08,0.1075,0.10766666666666666
100.0,0.0,4.0,10000.0,1.0,8.312116622924805,opu_physical,0.0,22.05964756011963,1e-06,0.6739,0.6860833333333334
100.0,0.0,4.0,10000.0,1.0,7.919638156890869,opu_physical,0.0,21.005915880203247,0.0001,0.8681,0.8779166666666667
100.0,0.0,4.0,10000.0,1.0,7.976766347885132,opu_physical,0.0,18.986056089401245,0.01,0.8731,0.881
100.0,0.0,4.0,10000.0,1.0,7.986999750137329,opu_physical,0.0,19.640850067138672,1.0,0.8702,0.8775
1000.0,0.0,4.0,10000.0,1.0,7.9141435623168945,opu_physical,0.0,19.463427305221558,1e-10,0.1072,0.10691666666666666
1000.0,0.0,4.0,10000.0,1.0,7.921891689300537,opu_physical,0.0,20.15059542655945,1e-08,0.106,0.1055
1000.0,0.0,4.0,10000.0,1.0,7.98574423789978,opu_physical,0.0,20.22295618057251,1e-06,0.5069,0.51375
1000.0,0.0,4.0,10000.0,1.0,8.470961093902588,opu_physical,0.0,18.438082933425903,0.0001,0.8582,0.8675833333333334
1000.0,0.0,4.0,10000.0,1.0,7.962517023086548,opu_physical,0.0,20.340952157974243,0.01,0.8726,0.8805833333333334
1000.0,0.0,4.0,10000.0,1.0,7.926205158233643,opu_physical,0.0,18.064918041229248,1.0,0.8691,0.8759166666666667
10000.0,0.0,4.0,10000.0,1.0,7.956874132156372,opu_physical,0.0,20.730121612548828,1e-10,0.1075,0.10691666666666666
10000.0,0.0,4.0,10000.0,1.0,7.955673933029175,opu_physical,0.0,18.521022081375122,1e-08,0.1066,0.10533333333333333
10000.0,0.0,4.0,10000.0,1.0,7.977824449539185,opu_physical,0.0,21.245416164398193,1e-06,0.1985,0.19275
10000.0,0.0,4.0,10000.0,1.0,7.936503887176514,opu_physical,0.0,17.404889583587646,0.0001,0.8306,0.8355833333333333
10000.0,0.0,4.0,10000.0,1.0,7.9366843700408936,opu_physical,0.0,23.301648139953613,0.01,0.8701,0.8806666666666667
10000.0,0.0,4.0,10000.0,1.0,7.99769139289856,opu_physical,0.0,18.612759590148926,1.0,0.8713,0.8823333333333333
