alpha,bias,num_features,precomputed,proj_time,projection,raw_features,regr_time,scale,test_score,val_score
1e-06,0.0,10000.0,1.0,10.008883714675903,opu_physical,0.0,85.4930624961853,1e-05,0.8685,0.8725
1e-06,0.0,10000.0,1.0,9.659919023513794,opu_physical,0.0,79.87003660202026,0.0001,0.8755,0.8805
1e-06,0.0,10000.0,1.0,10.279473781585693,opu_physical,0.0,81.69015669822693,0.001,0.8754,0.8770833333333333
1e-06,0.0,10000.0,1.0,10.064472436904907,opu_physical,0.0,80.44153380393982,0.01,0.8759,0.8858333333333334
1e-06,0.0,10000.0,1.0,10.11614990234375,opu_physical,0.0,80.53259038925171,0.1,0.8732,0.8815833333333334
1e-06,0.0,10000.0,1.0,9.657494306564331,opu_physical,0.0,80.0586850643158,1.0,0.8748,0.88475
0.1,0.0,10000.0,1.0,10.207891941070557,opu_physical,0.0,81.63446974754333,1e-05,0.5816,0.59075
0.1,0.0,10000.0,1.0,9.438702821731567,opu_physical,0.0,78.48155641555786,0.0001,0.7713,0.7769166666666667
0.1,0.0,10000.0,1.0,9.741594076156616,opu_physical,0.0,78.02488446235657,0.001,0.8524,0.8596666666666667
0.1,0.0,10000.0,1.0,9.849769353866577,opu_physical,0.0,82.48935914039612,0.01,0.8753,0.8799166666666667
0.1,0.0,10000.0,1.0,9.55236005783081,opu_physical,0.0,79.01625275611877,0.1,0.8754,0.88175
0.1,0.0,10000.0,1.0,9.621936798095703,opu_physical,0.0,83.60004091262817,1.0,0.8726,0.8825
1.0,0.0,10000.0,1.0,9.52444863319397,opu_physical,0.0,95.17594599723816,1e-05,0.1477,0.14683333333333334
1.0,0.0,10000.0,1.0,10.560603857040405,opu_physical,0.0,82.11057114601135,0.0001,0.6671,0.6705
1.0,0.0,10000.0,1.0,10.258888006210327,opu_physical,0.0,78.98031520843506,0.001,0.8208,0.8310833333333333
1.0,0.0,10000.0,1.0,11.079161405563354,opu_physical,0.0,86.83925008773804,0.01,0.8676,0.8748333333333334
1.0,0.0,10000.0,1.0,9.613935708999634,opu_physical,0.0,85.81295704841614,0.1,0.877,0.8790833333333333
1.0,0.0,10000.0,1.0,9.521249532699585,opu_physical,0.0,84.30252957344055,1.0,0.8739,0.8795
10.0,0.0,10000.0,1.0,10.078363180160522,opu_physical,0.0,85.66376519203186,1e-05,0.1005,0.10175
10.0,0.0,10000.0,1.0,9.463139057159424,opu_physical,0.0,85.033194065094,0.0001,0.5831,0.5940833333333333
10.0,0.0,10000.0,1.0,9.81477165222168,opu_physical,0.0,75.34425115585327,0.001,0.7729,0.7854166666666667
10.0,0.0,10000.0,1.0,9.662692308425903,opu_physical,0.0,81.4477186203003,0.01,0.8525,0.8580833333333333
10.0,0.0,10000.0,1.0,9.61240029335022,opu_physical,0.0,84.05476593971252,0.1,0.8766,0.88575
10.0,0.0,10000.0,1.0,9.656615257263184,opu_physical,0.0,82.64711117744446,1.0,0.8749,0.8780833333333333
100.0,0.0,10000.0,1.0,9.593530178070068,opu_physical,0.0,87.15331387519836,1e-05,0.1003,0.10516666666666667
100.0,0.0,10000.0,1.0,9.765257120132446,opu_physical,0.0,83.32673788070679,0.0001,0.1387,0.12975
100.0,0.0,10000.0,1.0,9.616279363632202,opu_physical,0.0,79.74957060813904,0.001,0.6697,0.6774166666666667
100.0,0.0,10000.0,1.0,9.536897420883179,opu_physical,0.0,79.64277386665344,0.01,0.8219,0.8270833333333333
100.0,0.0,10000.0,1.0,9.476114749908447,opu_physical,0.0,78.87401056289673,0.1,0.869,0.8730833333333333
100.0,0.0,10000.0,1.0,10.47787880897522,opu_physical,0.0,81.60440969467163,1.0,0.8746,0.88125
1000.0,0.0,10000.0,1.0,9.555443048477173,opu_physical,0.0,84.80837631225586,1e-05,0.1,0.10075
1000.0,0.0,10000.0,1.0,9.70266604423523,opu_physical,0.0,80.4456250667572,0.0001,0.1003,0.10208333333333333
1000.0,0.0,10000.0,1.0,10.178838014602661,opu_physical,0.0,84.40626859664917,0.001,0.5784,0.58475
1000.0,0.0,10000.0,1.0,9.79020357131958,opu_physical,0.0,85.82375025749207,0.01,0.7723,0.7845833333333333
1000.0,0.0,10000.0,1.0,11.108027935028076,opu_physical,0.0,76.95089960098267,0.1,0.8526,0.8591666666666666
1000.0,0.0,10000.0,1.0,9.695586919784546,opu_physical,0.0,81.53145027160645,1.0,0.876,0.8808333333333334
10000.0,0.0,10000.0,1.0,9.642023801803589,opu_physical,0.0,88.23283553123474,1e-05,0.1,0.1
10000.0,0.0,10000.0,1.0,9.47501802444458,opu_physical,0.0,101.40315008163452,0.0001,0.1,0.09891666666666667
10000.0,0.0,10000.0,1.0,10.306948184967041,opu_physical,0.0,95.61500406265259,0.001,0.1371,0.13233333333333333
10000.0,0.0,10000.0,1.0,9.6573805809021,opu_physical,0.0,110.00581455230713,0.01,0.6694,0.6773333333333333
10000.0,0.0,10000.0,1.0,10.359184503555298,opu_physical,0.0,84.17079591751099,0.1,0.8209,0.8298333333333333
10000.0,0.0,10000.0,1.0,10.671039342880249,opu_physical,0.0,88.26901984214783,1.0,0.869,0.87825
