alpha,bias,degree,num_features,precomputed,proj_time,projection,raw_features,regr_time,scale,test_score,val_score
1e-06,0.0,4.0,10000.0,1.0,7.807374477386475,opu_physical,0.0,23.008811950683594,1e-10,0.6742,0.6799166666666666
1e-06,0.0,4.0,10000.0,1.0,8.437093734741211,opu_physical,0.0,22.111650466918945,1e-08,0.8718,0.8786666666666667
1e-06,0.0,4.0,10000.0,1.0,8.604294300079346,opu_physical,0.0,19.111754894256592,1e-06,0.8708,0.8820833333333333
1e-06,0.0,4.0,10000.0,1.0,7.802656888961792,opu_physical,0.0,20.34242057800293,0.0001,0.8705,0.8838333333333334
1e-06,0.0,4.0,10000.0,1.0,8.42629599571228,opu_physical,0.0,22.548315048217773,0.01,0.8707,0.8850833333333333
1e-06,0.0,4.0,10000.0,1.0,8.840538740158081,opu_physical,0.0,19.511727333068848,1.0,0.8722,0.8798333333333334
0.1,0.0,4.0,10000.0,1.0,8.392334222793579,opu_physical,0.0,17.490641832351685,1e-10,0.1193,0.11533333333333333
0.1,0.0,4.0,10000.0,1.0,7.89352822303772,opu_physical,0.0,20.604947328567505,1e-08,0.5064,0.5083333333333333
0.1,0.0,4.0,10000.0,1.0,7.923381090164185,opu_physical,0.0,19.44988250732422,1e-06,0.8572,0.86475
0.1,0.0,4.0,10000.0,1.0,7.890626430511475,opu_physical,0.0,19.959951162338257,0.0001,0.871,0.88025
0.1,0.0,4.0,10000.0,1.0,8.408983707427979,opu_physical,0.0,19.41841697692871,0.01,0.871,0.8789166666666667
0.1,0.0,4.0,10000.0,1.0,8.376115798950195,opu_physical,0.0,21.23089337348938,1.0,0.873,0.8800833333333333
1.0,0.0,4.0,10000.0,1.0,7.863426208496094,opu_physical,0.0,19.269977807998657,1e-10,0.125,0.12283333333333334
1.0,0.0,4.0,10000.0,1.0,7.994082927703857,opu_physical,0.0,19.265528440475464,1e-08,0.2002,0.19441666666666665
1.0,0.0,4.0,10000.0,1.0,8.423197507858276,opu_physical,0.0,20.904828548431396,1e-06,0.8291,0.8389166666666666
1.0,0.0,4.0,10000.0,1.0,8.399906873703003,opu_physical,0.0,18.577372312545776,0.0001,0.8709,0.88025
1.0,0.0,4.0,10000.0,1.0,8.385015964508057,opu_physical,0.0,21.249427795410156,0.01,0.8729,0.88375
1.0,0.0,4.0,10000.0,1.0,7.923442840576172,opu_physical,0.0,18.490954399108887,1.0,0.871,0.8730833333333333
10.0,0.0,4.0,10000.0,1.0,7.929975986480713,opu_physical,0.0,18.225900650024414,1e-10,0.1317,0.13883333333333334
10.0,0.0,4.0,10000.0,1.0,7.836861848831177,opu_physical,0.0,21.6442232131958,1e-08,0.1338,0.13591666666666666
10.0,0.0,4.0,10000.0,1.0,8.363758325576782,opu_physical,0.0,19.257835388183594,1e-06,0.7727,0.7915
10.0,0.0,4.0,10000.0,1.0,8.36258053779602,opu_physical,0.0,18.85659623146057,0.0001,0.8762,0.8791666666666667
10.0,0.0,4.0,10000.0,1.0,7.87984824180603,opu_physical,0.0,16.60959029197693,0.01,0.873,0.8764166666666666
10.0,0.0,4.0,10000.0,1.0,7.9671406745910645,opu_physical,0.0,20.631903409957886,1.0,0.8711,0.8815
100.0,0.0,4.0,10000.0,1.0,7.904242753982544,opu_physical,0.0,17.4016056060791,1e-10,0.135,0.14541666666666667
100.0,0.0,4.0,10000.0,1.0,8.379825115203857,opu_physical,0.0,20.314526796340942,1e-08,0.1321,0.135
100.0,0.0,4.0,10000.0,1.0,8.36290979385376,opu_physical,0.0,19.970911264419556,1e-06,0.6755,0.6905833333333333
100.0,0.0,4.0,10000.0,1.0,8.442837953567505,opu_physical,0.0,17.91757893562317,0.0001,0.8702,0.8780833333333333
100.0,0.0,4.0,10000.0,1.0,7.916101932525635,opu_physical,0.0,18.028968572616577,0.01,0.8718,0.8836666666666667
100.0,0.0,4.0,10000.0,1.0,8.115246057510376,opu_physical,0.0,17.592984199523926,1.0,0.87,0.8785833333333334
1000.0,0.0,4.0,10000.0,1.0,7.883520841598511,opu_physical,0.0,19.4833767414093,1e-10,0.1308,0.13516666666666666
1000.0,0.0,4.0,10000.0,1.0,7.910325050354004,opu_physical,0.0,21.12022089958191,1e-08,0.1274,0.12641666666666668
1000.0,0.0,4.0,10000.0,1.0,8.004164218902588,opu_physical,0.0,17.885366678237915,1e-06,0.5061,0.5121666666666667
1000.0,0.0,4.0,10000.0,1.0,7.902790069580078,opu_physical,0.0,20.31103801727295,0.0001,0.8583,0.8671666666666666
1000.0,0.0,4.0,10000.0,1.0,8.456572532653809,opu_physical,0.0,20.246200561523438,0.01,0.8724,0.8814166666666666
1000.0,0.0,4.0,10000.0,1.0,8.363159656524658,opu_physical,0.0,19.250457525253296,1.0,0.8712,0.8801666666666667
10000.0,0.0,4.0,10000.0,1.0,7.845104932785034,opu_physical,0.0,19.615578174591064,1e-10,0.1262,0.126
10000.0,0.0,4.0,10000.0,1.0,8.129475116729736,opu_physical,0.0,18.627031326293945,1e-08,0.1279,0.1295
10000.0,0.0,4.0,10000.0,1.0,7.972630500793457,opu_physical,0.0,17.39229989051819,1e-06,0.2001,0.20266666666666666
10000.0,0.0,4.0,10000.0,1.0,8.43732762336731,opu_physical,0.0,23.169636011123657,0.0001,0.8281,0.8325833333333333
10000.0,0.0,4.0,10000.0,1.0,8.001061201095581,opu_physical,0.0,19.607664585113525,0.01,0.8725,0.8820833333333333
10000.0,0.0,4.0,10000.0,1.0,7.933319807052612,opu_physical,0.0,18.57888650894165,1.0,0.8722,0.8785
