alpha,bias,num_features,proj_time,projection,regr_time,scale,test_score,val_score
0.1,8.0,10000.0,0.0,linear,0.018774032592773438,0.001,0.7042,0.7098333333333333
0.1,8.0,10000.0,0.0,linear,0.018843412399291992,0.01,0.8056,0.8145
0.1,8.0,10000.0,0.0,linear,0.018827438354492188,0.1,0.8104,0.8151666666666667
0.1,8.0,10000.0,0.0,linear,0.01886892318725586,1.0,0.8115,0.81925
0.1,16.0,10000.0,0.0,linear,0.018843889236450195,1e-05,0.3149,0.3164166666666667
0.1,16.0,10000.0,0.0,linear,0.01889777183532715,0.0001,0.5549,0.5679166666666666
0.1,16.0,10000.0,0.0,linear,0.1069345474243164,0.001,0.7056,0.7121666666666666
0.1,16.0,10000.0,0.0,linear,0.020628929138183594,0.01,0.8057,0.8174166666666667
0.1,16.0,10000.0,0.0,linear,0.02510666847229004,0.1,0.8092,0.8145
0.1,16.0,10000.0,0.0,linear,0.059328556060791016,1.0,0.8088,0.8204166666666667
1.0,0.0,10000.0,0.0,linear,0.020228862762451172,1e-05,0.3006,0.30866666666666664
1.0,0.0,10000.0,0.0,linear,0.018875598907470703,0.0001,0.3577,0.36075
1.0,0.0,10000.0,0.0,linear,0.018914461135864258,0.001,0.6393,0.6456666666666667
1.0,0.0,10000.0,0.0,linear,0.018999814987182617,0.01,0.7839,0.7888333333333334
1.0,0.0,10000.0,0.0,linear,0.018949031829833984,0.1,0.809,0.8233333333333334
1.0,0.0,10000.0,0.0,linear,0.019037723541259766,1.0,0.8106,0.82275
1.0,1.0,10000.0,0.0,linear,0.018981456756591797,1e-05,0.3381,0.3365
1.0,1.0,10000.0,0.0,linear,0.019026517868041992,0.0001,0.3586,0.36291666666666667
1.0,1.0,10000.0,0.0,linear,0.01894211769104004,0.001,0.6358,0.6404166666666666
1.0,1.0,10000.0,0.0,linear,0.018868207931518555,0.01,0.7869,0.7911666666666667
1.0,1.0,10000.0,0.0,linear,0.01900339126586914,0.1,0.8114,0.8166666666666667
1.0,1.0,10000.0,0.0,linear,0.018951892852783203,1.0,0.8104,0.8203333333333334
1.0,2.0,10000.0,0.0,linear,0.07953763008117676,1e-05,0.3169,0.32516666666666666
1.0,2.0,10000.0,0.0,linear,0.05726790428161621,0.0001,0.3665,0.37225
1.0,2.0,10000.0,0.0,linear,0.0190885066986084,0.001,0.6389,0.64925
1.0,2.0,10000.0,0.0,linear,0.01891636848449707,0.01,0.7859,0.8023333333333333
1.0,2.0,10000.0,0.0,linear,0.01844644546508789,0.1,0.8078,0.82225
1.0,2.0,10000.0,0.0,linear,0.018373727798461914,1.0,0.8099,0.82025
1.0,4.0,10000.0,0.0,linear,0.018514394760131836,1e-05,0.2793,0.27308333333333334
1.0,4.0,10000.0,0.0,linear,0.018467426300048828,0.0001,0.3938,0.40066666666666667
1.0,4.0,10000.0,0.0,linear,0.018513202667236328,0.001,0.6355,0.6465833333333333
1.0,4.0,10000.0,0.0,linear,0.018517017364501953,0.01,0.786,0.7941666666666667
1.0,4.0,10000.0,0.0,linear,0.03120732307434082,0.1,0.809,0.8188333333333333
1.0,4.0,10000.0,0.0,linear,0.03419804573059082,1.0,0.8089,0.8213333333333334
1.0,8.0,10000.0,0.0,linear,0.02022266387939453,1e-05,0.3012,0.2951666666666667
1.0,8.0,10000.0,0.0,linear,0.018845319747924805,0.0001,0.3719,0.37266666666666665
1.0,8.0,10000.0,0.0,linear,0.01897573471069336,0.001,0.6345,0.6435
1.0,8.0,10000.0,0.0,linear,0.018993854522705078,0.01,0.7862,0.7954166666666667
1.0,8.0,10000.0,0.0,linear,0.018878459930419922,0.1,0.811,0.8183333333333334
1.0,8.0,10000.0,0.0,linear,0.0189516544342041,1.0,0.8111,0.8235833333333333
1.0,16.0,10000.0,0.0,linear,0.018979310989379883,1e-05,0.3203,0.3195
1.0,16.0,10000.0,0.0,linear,0.019000530242919922,0.0001,0.3633,0.3730833333333333
1.0,16.0,10000.0,0.0,linear,0.01891922950744629,0.001,0.6373,0.64825
1.0,16.0,10000.0,0.0,linear,0.018887042999267578,0.01,0.7859,0.7963333333333333
1.0,16.0,10000.0,0.0,linear,0.019570112228393555,0.1,0.8113,0.81875
1.0,16.0,10000.0,0.0,linear,0.0648651123046875,1.0,0.8109,0.8304166666666667
10.0,0.0,10000.0,0.0,linear,0.02258920669555664,1e-05,0.3076,0.309
10.0,0.0,10000.0,0.0,linear,0.04901528358459473,0.0001,0.311,0.31383333333333335
10.0,0.0,10000.0,0.0,linear,0.04527878761291504,0.001,0.5593,0.5710833333333334
10.0,0.0,10000.0,0.0,linear,0.019330978393554688,0.01,0.7033,0.7168333333333333
10.0,0.0,10000.0,0.0,linear,0.019228696823120117,0.1,0.8069,0.8086666666666666
10.0,0.0,10000.0,0.0,linear,0.018259048461914062,1.0,0.8095,0.8159166666666666
10.0,1.0,10000.0,0.0,linear,0.07055902481079102,1e-05,0.3328,0.3298333333333333
10.0,1.0,10000.0,0.0,linear,0.0196225643157959,0.0001,0.3212,0.32
10.0,1.0,10000.0,0.0,linear,0.01846456527709961,0.001,0.5561,0.5723333333333334
10.0,1.0,10000.0,0.0,linear,0.09039568901062012,0.01,0.7026,0.7075
10.0,1.0,10000.0,0.0,linear,0.05966019630432129,0.1,0.8059,0.8161666666666667
10.0,1.0,10000.0,0.0,linear,0.08733296394348145,1.0,0.8111,0.82075
10.0,2.0,10000.0,0.0,linear,0.10139942169189453,1e-05,0.3066,0.30633333333333335
10.0,2.0,10000.0,0.0,linear,0.05190110206604004,0.0001,0.3086,0.3075833333333333
10.0,2.0,10000.0,0.0,linear,0.09837746620178223,0.001,0.56,0.5678333333333333
