alpha,bias,num_features,precomputed,proj_time,projection,raw_features,regr_time,scale,test_score,val_score
1e-06,0.0,10000.0,1.0,10.63849687576294,opu_physical,0.0,88.4350643157959,1e-05,0.868,0.88125
1e-06,0.0,10000.0,1.0,10.38102912902832,opu_physical,0.0,84.93316125869751,0.0001,0.8708,0.881
1e-06,0.0,10000.0,1.0,10.878552198410034,opu_physical,0.0,84.25349950790405,0.001,0.8712,0.8828333333333334
1e-06,0.0,10000.0,1.0,10.641538381576538,opu_physical,0.0,80.03284573554993,0.01,0.8713,0.8808333333333334
1e-06,0.0,10000.0,1.0,10.989336252212524,opu_physical,0.0,85.21214461326599,0.1,0.8718,0.8801666666666667
1e-06,0.0,10000.0,1.0,10.57032585144043,opu_physical,0.0,87.39852452278137,1.0,0.8725,0.8793333333333333
0.1,0.0,10000.0,1.0,9.794606447219849,opu_physical,0.0,83.5357575416565,1e-05,0.5809,0.591
0.1,0.0,10000.0,1.0,9.883975267410278,opu_physical,0.0,83.49766159057617,0.0001,0.7762,0.7805833333333333
0.1,0.0,10000.0,1.0,9.831785678863525,opu_physical,0.0,173.4344437122345,0.001,0.8509,0.8561666666666666
0.1,0.0,10000.0,1.0,12.244656562805176,opu_physical,0.0,190.2388482093811,0.01,0.8724,0.8839166666666667
0.1,0.0,10000.0,1.0,12.00941014289856,opu_physical,0.0,100.39167594909668,0.1,0.8718,0.8798333333333334
0.1,0.0,10000.0,1.0,12.019893646240234,opu_physical,0.0,67.93639731407166,1.0,0.8715,0.874
1.0,0.0,10000.0,1.0,11.864689588546753,opu_physical,0.0,84.25985312461853,1e-05,0.1439,0.14075
1.0,0.0,10000.0,1.0,11.37534761428833,opu_physical,0.0,119.24315094947815,0.0001,0.671,0.6845833333333333
1.0,0.0,10000.0,1.0,11.636222124099731,opu_physical,0.0,181.8586938381195,0.001,0.8198,0.82875
1.0,0.0,10000.0,1.0,11.068938255310059,opu_physical,0.0,159.7294807434082,0.01,0.8675,0.87325
1.0,0.0,10000.0,1.0,10.40056300163269,opu_physical,0.0,128.4204339981079,0.1,0.8717,0.8768333333333334
1.0,0.0,10000.0,1.0,10.60968828201294,opu_physical,0.0,132.435702085495,1.0,0.8714,0.8801666666666667
10.0,0.0,10000.0,1.0,10.948692083358765,opu_physical,0.0,115.2659022808075,1e-05,0.1,0.09925
10.0,0.0,10000.0,1.0,10.853427648544312,opu_physical,0.0,125.46441316604614,0.0001,0.5771,0.5841666666666666
10.0,0.0,10000.0,1.0,11.222764253616333,opu_physical,0.0,152.99584484100342,0.001,0.7755,0.7846666666666666
10.0,0.0,10000.0,1.0,11.051912307739258,opu_physical,0.0,155.401917219162,0.01,0.8508,0.8550833333333333
10.0,0.0,10000.0,1.0,11.43205189704895,opu_physical,0.0,88.43693590164185,0.1,0.8721,0.881
10.0,0.0,10000.0,1.0,12.885371208190918,opu_physical,0.0,128.13693046569824,1.0,0.8708,0.8798333333333334
100.0,0.0,10000.0,1.0,11.462726354598999,opu_physical,0.0,116.7756130695343,1e-05,0.1,0.09991666666666667
100.0,0.0,10000.0,1.0,12.108230829238892,opu_physical,0.0,117.68432378768921,0.0001,0.1398,0.14383333333333334
100.0,0.0,10000.0,1.0,10.603535175323486,opu_physical,0.0,153.0327787399292,0.001,0.6698,0.6784166666666667
100.0,0.0,10000.0,1.0,12.499704122543335,opu_physical,0.0,142.28338170051575,0.01,0.8208,0.8278333333333333
100.0,0.0,10000.0,1.0,12.635922193527222,opu_physical,0.0,135.4699776172638,0.1,0.8682,0.8759166666666667
100.0,0.0,10000.0,1.0,12.577424049377441,opu_physical,0.0,104.71768999099731,1.0,0.8762,0.8810833333333333
1000.0,0.0,10000.0,1.0,11.167748212814331,opu_physical,0.0,212.6604561805725,1e-05,0.1,0.09883333333333333
1000.0,0.0,10000.0,1.0,10.205749034881592,opu_physical,0.0,210.27089285850525,0.0001,0.1,0.1005
1000.0,0.0,10000.0,1.0,12.883569955825806,opu_physical,0.0,136.40408039093018,0.001,0.5743,0.5845833333333333
1000.0,0.0,10000.0,1.0,10.560679197311401,opu_physical,0.0,210.4542853832245,0.01,0.7751,0.782
1000.0,0.0,10000.0,1.0,10.282401323318481,opu_physical,0.0,183.4815514087677,0.1,0.851,0.8625
1000.0,0.0,10000.0,1.0,10.362763166427612,opu_physical,0.0,103.41226959228516,1.0,0.8735,0.8821666666666667
10000.0,0.0,10000.0,1.0,10.663788080215454,opu_physical,0.0,122.82601404190063,1e-05,0.1,0.09516666666666666
10000.0,0.0,10000.0,1.0,11.818084001541138,opu_physical,0.0,96.83424830436707,0.0001,0.1,0.097
10000.0,0.0,10000.0,1.0,12.249678134918213,opu_physical,0.0,99.4882230758667,0.001,0.1235,0.12325
10000.0,0.0,10000.0,1.0,11.68166732788086,opu_physical,0.0,155.61201691627502,0.01,0.673,0.6821666666666667
10000.0,0.0,10000.0,1.0,10.348221778869629,opu_physical,0.0,140.22538375854492,0.1,0.8209,0.826
10000.0,0.0,10000.0,1.0,10.23209810256958,opu_physical,0.0,91.10929584503174,1.0,0.8691,0.87475
