alpha,bias,degree,num_features,proj_time,projection,regr_time,scale,test_score,val_score
1e-06,0.0,6.0,10000.0,16.139344215393066,opu,1.9482922554016113,1e-05,0.8723,0.8826666666666667
1e-06,0.0,6.0,10000.0,0.277590274810791,opu,1.6853861808776855,0.0001,0.8713,0.8759166666666667
1e-06,0.0,6.0,10000.0,0.26099061965942383,opu,1.7590751647949219,0.001,0.8704,0.87925
1e-06,0.0,6.0,10000.0,0.18436646461486816,opu,1.7495150566101074,0.01,0.8751,0.871
1e-06,0.0,6.0,10000.0,0.18259286880493164,opu,1.6612474918365479,0.1,0.868,0.8755833333333334
1e-06,1.0,6.0,10000.0,0.20713090896606445,opu,1.736119270324707,1e-05,0.8675,0.8706666666666667
1e-06,1.0,6.0,10000.0,0.17964529991149902,opu,1.7056076526641846,0.0001,0.8689,0.8778333333333334
1e-06,1.0,6.0,10000.0,0.1871044635772705,opu,1.6607472896575928,0.001,0.871,0.8734166666666666
1e-06,1.0,6.0,10000.0,0.25190067291259766,opu,1.6533503532409668,0.01,0.869,0.8738333333333334
1e-06,1.0,6.0,10000.0,0.2366499900817871,opu,1.7076692581176758,0.1,0.8688,0.8774166666666666
1e-06,2.0,6.0,10000.0,0.18349409103393555,opu,1.811368703842163,1e-05,0.8694,0.88025
1e-06,2.0,6.0,10000.0,0.2474055290222168,opu,1.6822295188903809,0.0001,0.8723,0.8803333333333333
1e-06,2.0,6.0,10000.0,0.25134897232055664,opu,1.6719489097595215,0.001,0.875,0.87425
1e-06,2.0,6.0,10000.0,0.18395614624023438,opu,1.7849903106689453,0.01,0.8713,0.8748333333333334
1e-06,2.0,6.0,10000.0,0.18433523178100586,opu,1.670619249343872,0.1,0.8698,0.8759166666666667
1e-06,4.0,6.0,10000.0,0.24853277206420898,opu,1.6649069786071777,1e-05,0.8713,0.87425
1e-06,4.0,6.0,10000.0,0.19584274291992188,opu,1.7128832340240479,0.0001,0.8719,0.8763333333333333
1e-06,4.0,6.0,10000.0,0.2514932155609131,opu,1.6753051280975342,0.001,0.8722,0.87175
1e-06,4.0,6.0,10000.0,0.18196392059326172,opu,1.5623743534088135,0.01,0.8682,0.8774166666666666
1e-06,4.0,6.0,10000.0,0.18274331092834473,opu,1.6517903804779053,0.1,0.8685,0.8825833333333334
0.1,0.0,6.0,10000.0,0.2551918029785156,opu,1.7090740203857422,1e-05,0.8704,0.874
0.1,0.0,6.0,10000.0,0.19525909423828125,opu,1.7548091411590576,0.0001,0.8691,0.8764166666666666
0.1,0.0,6.0,10000.0,0.25232529640197754,opu,1.7490460872650146,0.001,0.8719,0.878
0.1,0.0,6.0,10000.0,0.25969839096069336,opu,1.767176628112793,0.01,0.8705,0.8750833333333333
0.1,0.0,6.0,10000.0,0.1816422939300537,opu,1.7593424320220947,0.1,0.8704,0.86725
0.1,1.0,6.0,10000.0,0.2580742835998535,opu,1.9419512748718262,1e-05,0.8706,0.87725
0.1,1.0,6.0,10000.0,0.25473690032958984,opu,1.802769660949707,0.0001,0.8693,0.8775833333333334
0.1,1.0,6.0,10000.0,0.19121217727661133,opu,1.7598779201507568,0.001,0.8697,0.87925
0.1,1.0,6.0,10000.0,0.28538012504577637,opu,1.8268632888793945,0.01,0.8696,0.8736666666666667
0.1,1.0,6.0,10000.0,0.2544746398925781,opu,1.7911789417266846,0.1,0.8711,0.8801666666666667
0.1,2.0,6.0,10000.0,0.1842489242553711,opu,1.767768144607544,1e-05,0.8719,0.8775833333333334
0.1,2.0,6.0,10000.0,0.2013700008392334,opu,1.789306879043579,0.0001,0.87,0.8748333333333334
0.1,2.0,6.0,10000.0,0.1869640350341797,opu,1.794618844985962,0.001,0.8737,0.8778333333333334
0.1,2.0,6.0,10000.0,0.20345664024353027,opu,1.7495357990264893,0.01,0.8715,0.8721666666666666
0.1,2.0,6.0,10000.0,0.27897119522094727,opu,1.751765251159668,0.1,0.8734,0.8773333333333333
0.1,4.0,6.0,10000.0,0.1854708194732666,opu,1.7475378513336182,1e-05,0.8733,0.87775
0.1,4.0,6.0,10000.0,0.3930978775024414,opu,1.811429500579834,0.0001,0.871,0.88025
0.1,4.0,6.0,10000.0,0.28608107566833496,opu,1.7525129318237305,0.001,0.8701,0.8850833333333333
0.1,4.0,6.0,10000.0,0.35241270065307617,opu,1.7567942142486572,0.01,0.8709,0.8835
0.1,4.0,6.0,10000.0,0.18195557594299316,opu,1.8142523765563965,0.1,0.8706,0.881
1.0,0.0,6.0,10000.0,0.18392181396484375,opu,1.759939432144165,1e-05,0.8732,0.8698333333333333
1.0,0.0,6.0,10000.0,0.2884223461151123,opu,1.7333347797393799,0.0001,0.8701,0.8808333333333334
1.0,0.0,6.0,10000.0,0.1813507080078125,opu,1.8149561882019043,0.001,0.8703,0.87475
1.0,0.0,6.0,10000.0,0.18393921852111816,opu,1.7588622570037842,0.01,0.8714,0.8798333333333334
1.0,0.0,6.0,10000.0,0.2561819553375244,opu,1.7812705039978027,0.1,0.8729,0.8729166666666667
1.0,1.0,6.0,10000.0,0.18406105041503906,opu,1.8234522342681885,1e-05,0.8681,0.87625
1.0,1.0,6.0,10000.0,0.24919915199279785,opu,1.7574069499969482,0.0001,0.8696,0.8796666666666667
1.0,1.0,6.0,10000.0,0.18808221817016602,opu,1.752814769744873,0.001,0.8685,0.88225
1.0,1.0,6.0,10000.0,0.2639141082763672,opu,1.7074754238128662,0.01,0.8729,0.8774166666666666
1.0,1.0,6.0,10000.0,0.190232515335083,opu,1.7537562847137451,0.1,0.8707,0.8775833333333334
1.0,2.0,6.0,10000.0,0.19574642181396484,opu,1.8416879177093506,1e-05,0.8685,0.8785
1.0,2.0,6.0,10000.0,0.25876402854919434,opu,1.791090488433838,0.0001,0.8725,0.87275
1.0,2.0,6.0,10000.0,0.2519550323486328,opu,1.672166347503662,0.001,0.8682,0.8781666666666667
1.0,2.0,6.0,10000.0,0.24867820739746094,opu,1.6683158874511719,0.01,0.8757,0.8736666666666667
1.0,2.0,6.0,10000.0,0.19826483726501465,opu,1.7841250896453857,0.1,0.869,0.88
1.0,4.0,6.0,10000.0,0.251035213470459,opu,1.6793513298034668,1e-05,0.8713,0.8811666666666667
1.0,4.0,6.0,10000.0,0.27934813499450684,opu,1.7565383911132812,0.0001,0.8738,0.8781666666666667
1.0,4.0,6.0,10000.0,0.26306986808776855,opu,1.7914860248565674,0.001,0.8723,0.8734166666666666
1.0,4.0,6.0,10000.0,0.1871938705444336,opu,1.6738572120666504,0.01,0.8748,0.8719166666666667
1.0,4.0,6.0,10000.0,0.18513703346252441,opu,1.6743848323822021,0.1,0.8734,0.8755833333333334
10.0,0.0,6.0,10000.0,0.18237638473510742,opu,1.7305691242218018,1e-05,0.8725,0.8745833333333334
10.0,0.0,6.0,10000.0,0.24954557418823242,opu,1.6928980350494385,0.0001,0.8732,0.8796666666666667
10.0,0.0,6.0,10000.0,0.20730972290039062,opu,1.6784677505493164,0.001,0.8708,0.8745
10.0,0.0,6.0,10000.0,0.24905943870544434,opu,1.6586859226226807,0.01,0.8688,0.876
10.0,0.0,6.0,10000.0,0.2573981285095215,opu,1.657057523727417,0.1,0.8701,0.88025
10.0,1.0,6.0,10000.0,0.19300031661987305,opu,1.7310490608215332,1e-05,0.8663,0.87525
10.0,1.0,6.0,10000.0,0.1859877109527588,opu,1.7510969638824463,0.0001,0.8711,0.8768333333333334
10.0,1.0,6.0,10000.0,0.18640470504760742,opu,1.7674009799957275,0.001,0.8712,0.8749166666666667
10.0,1.0,6.0,10000.0,0.27211499214172363,opu,1.7397289276123047,0.01,0.8707,0.8774166666666666
10.0,1.0,6.0,10000.0,0.18372344970703125,opu,1.6812529563903809,0.1,0.8702,0.87775
10.0,2.0,6.0,10000.0,0.18602633476257324,opu,1.6649818420410156,1e-05,0.8709,0.8799166666666667
10.0,2.0,6.0,10000.0,0.34247589111328125,opu,1.6719179153442383,0.0001,0.8739,0.8776666666666667
10.0,2.0,6.0,10000.0,0.19636893272399902,opu,1.7049190998077393,0.001,0.8731,0.87975
10.0,2.0,6.0,10000.0,0.18470215797424316,opu,1.6749331951141357,0.01,0.8713,0.87625
10.0,2.0,6.0,10000.0,0.20389866828918457,opu,1.9039034843444824,0.1,0.875,0.8736666666666667
10.0,4.0,6.0,10000.0,0.2504150867462158,opu,1.7191064357757568,1e-05,0.8731,0.87975
10.0,4.0,6.0,10000.0,0.18551874160766602,opu,1.659026861190796,0.0001,0.8696,0.8755
10.0,4.0,6.0,10000.0,0.19185113906860352,opu,1.760873556137085,0.001,0.8693,0.8771666666666667
10.0,4.0,6.0,10000.0,0.18475794792175293,opu,1.7063331604003906,0.01,0.8725,0.87375
10.0,4.0,6.0,10000.0,0.1848740577697754,opu,1.659407377243042,0.1,0.872,0.8824166666666666
100.0,0.0,6.0,10000.0,0.18460536003112793,opu,1.6725666522979736,1e-05,0.873,0.8798333333333334
100.0,0.0,6.0,10000.0,0.18587708473205566,opu,1.7384374141693115,0.0001,0.8688,0.8810833333333333
100.0,0.0,6.0,10000.0,0.1935892105102539,opu,1.6713647842407227,0.001,0.8716,0.8780833333333333
100.0,0.0,6.0,10000.0,0.2556924819946289,opu,1.7476394176483154,0.01,0.8715,0.8716666666666667
100.0,0.0,6.0,10000.0,0.18675804138183594,opu,1.7650976181030273,0.1,0.8698,0.8736666666666667
100.0,1.0,6.0,10000.0,0.1875779628753662,opu,1.8161227703094482,1e-05,0.8716,0.8755
100.0,1.0,6.0,10000.0,0.1911466121673584,opu,1.7491061687469482,0.0001,0.8716,0.872
100.0,1.0,6.0,10000.0,0.24625349044799805,opu,1.7830424308776855,0.001,0.8712,0.8740833333333333
100.0,1.0,6.0,10000.0,0.18449878692626953,opu,1.753312110900879,0.01,0.872,0.87475
100.0,1.0,6.0,10000.0,0.18531250953674316,opu,1.659489393234253,0.1,0.8699,0.8746666666666667
100.0,2.0,6.0,10000.0,0.1900007724761963,opu,1.7333133220672607,1e-05,0.8713,0.8776666666666667
100.0,2.0,6.0,10000.0,0.2981250286102295,opu,1.7754740715026855,0.0001,0.871,0.8759166666666667
100.0,2.0,6.0,10000.0,0.18643975257873535,opu,1.7466003894805908,0.001,0.8716,0.8789166666666667
100.0,2.0,6.0,10000.0,0.18554925918579102,opu,1.7606902122497559,0.01,0.8754,0.8795
100.0,2.0,6.0,10000.0,0.18262481689453125,opu,1.954979658126831,0.1,0.8674,0.8769166666666667
100.0,4.0,6.0,10000.0,0.2563436031341553,opu,1.7503437995910645,1e-05,0.8713,0.8800833333333333
100.0,4.0,6.0,10000.0,0.18519306182861328,opu,1.7379343509674072,0.0001,0.8722,0.8751666666666666
100.0,4.0,6.0,10000.0,0.256040096282959,opu,1.7384507656097412,0.001,0.8749,0.87775
100.0,4.0,6.0,10000.0,0.19126582145690918,opu,1.661557674407959,0.01,0.8751,0.8789166666666667
100.0,4.0,6.0,10000.0,0.18806838989257812,opu,1.7107696533203125,0.1,0.8702,0.8793333333333333
1000.0,0.0,6.0,10000.0,0.18586015701293945,opu,1.680582046508789,1e-05,0.8737,0.87625
1000.0,0.0,6.0,10000.0,0.19027948379516602,opu,1.6648871898651123,0.0001,0.8715,0.8758333333333334
1000.0,0.0,6.0,10000.0,0.19100022315979004,opu,1.6923871040344238,0.001,0.8714,0.8770833333333333
1000.0,0.0,6.0,10000.0,0.18947625160217285,opu,1.7529468536376953,0.01,0.8706,0.878
1000.0,0.0,6.0,10000.0,0.252913236618042,opu,1.6596894264221191,0.1,0.871,0.8755833333333334
1000.0,1.0,6.0,10000.0,0.18680906295776367,opu,1.7643003463745117,1e-05,0.8727,0.8779166666666667
1000.0,1.0,6.0,10000.0,0.298980712890625,opu,1.6547527313232422,0.0001,0.8718,0.8740833333333333
1000.0,1.0,6.0,10000.0,0.18479394912719727,opu,1.6481330394744873,0.001,0.8712,0.88
1000.0,1.0,6.0,10000.0,0.18476414680480957,opu,1.7234604358673096,0.01,0.8718,0.8755833333333334
1000.0,1.0,6.0,10000.0,0.1803147792816162,opu,1.6870908737182617,0.1,0.8722,0.8745833333333334
1000.0,2.0,6.0,10000.0,0.19750714302062988,opu,1.7540130615234375,1e-05,0.8749,0.8781666666666667
1000.0,2.0,6.0,10000.0,0.2510251998901367,opu,1.7053167819976807,0.0001,0.8715,0.8761666666666666
1000.0,2.0,6.0,10000.0,0.18219447135925293,opu,1.657299280166626,0.001,0.8733,0.8749166666666667
1000.0,2.0,6.0,10000.0,0.1854863166809082,opu,1.6853923797607422,0.01,0.8685,0.87425
1000.0,2.0,6.0,10000.0,0.24518370628356934,opu,1.6622014045715332,0.1,0.8716,0.87625
1000.0,4.0,6.0,10000.0,0.17889785766601562,opu,1.6938443183898926,1e-05,0.8729,0.8788333333333334
1000.0,4.0,6.0,10000.0,0.18277549743652344,opu,1.7708690166473389,0.0001,0.8718,0.8798333333333334
1000.0,4.0,6.0,10000.0,0.25556230545043945,opu,1.749375581741333,0.001,0.8727,0.8771666666666667
1000.0,4.0,6.0,10000.0,0.25705647468566895,opu,1.7978873252868652,0.01,0.8726,0.8824166666666666
1000.0,4.0,6.0,10000.0,0.1900010108947754,opu,1.6552751064300537,0.1,0.8717,0.8745833333333334
