alpha,bias,degree,num_features,proj_time,projection,regr_time,scale,test_score
10000.0,4.0,2.0,10.0,16.43796730041504,opu,0.012266874313354492,1.0,0.4734
10000.0,4.0,2.0,20.0,2.5113155841827393,opu,0.016530513763427734,1.0,0.6405
10000.0,4.0,2.0,30.0,2.563084125518799,opu,0.06815028190612793,1.0,0.6402
10000.0,4.0,2.0,40.0,4.24651575088501,opu,0.047399282455444336,1.0,0.7051
10000.0,4.0,2.0,50.0,4.607930421829224,opu,0.10338354110717773,1.0,0.7176
10000.0,4.0,2.0,60.0,4.801130056381226,opu,0.07870054244995117,1.0,0.7348
10000.0,4.0,2.0,70.0,4.4152512550354,opu,0.1398179531097412,1.0,0.7508
10000.0,4.0,2.0,80.0,4.602428436279297,opu,0.07849836349487305,1.0,0.7595
10000.0,4.0,2.0,90.0,4.372400760650635,opu,0.16073989868164062,1.0,0.7615
10000.0,4.0,2.0,100.0,5.219751834869385,opu,0.16267657279968262,1.0,0.7674
10000.0,4.0,2.0,200.0,4.8236167430877686,opu,0.14674806594848633,1.0,0.8065
10000.0,4.0,2.0,300.0,4.996766805648804,opu,0.27390241622924805,1.0,0.8185
10000.0,4.0,2.0,400.0,5.428574085235596,opu,0.4408576488494873,1.0,0.8266
10000.0,4.0,2.0,500.0,6.129029989242554,opu,0.46283602714538574,1.0,0.8359
10000.0,4.0,2.0,600.0,5.7214133739471436,opu,0.45436716079711914,1.0,0.8403
10000.0,4.0,2.0,700.0,5.57641077041626,opu,0.5011982917785645,1.0,0.8433
10000.0,4.0,2.0,800.0,5.48882269859314,opu,0.7125887870788574,1.0,0.8458
10000.0,4.0,2.0,900.0,6.3872971534729,opu,0.8329594135284424,1.0,0.8493
10000.0,4.0,2.0,1000.0,6.624553442001343,opu,0.9222989082336426,1.0,0.8505
10000.0,4.0,2.0,2000.0,7.7062766551971436,opu,2.2163023948669434,1.0,0.8636
10000.0,4.0,2.0,3000.0,6.872544050216675,opu,2.962106466293335,1.0,0.8685
10000.0,4.0,2.0,4000.0,6.435465574264526,opu,4.187958478927612,1.0,0.8703
10000.0,4.0,2.0,5000.0,9.151367664337158,opu,5.525931358337402,1.0,0.8752
10000.0,4.0,2.0,10000.0,14.514717817306519,opu,19.222415685653687,1.0,0.8821
10000.0,4.0,2.0,20000.0,23.402718544006348,opu,57.5248236656189,1.0,0.8842
10000.0,4.0,2.0,50000.0,69.81154131889343,opu,251.99849009513855,1.0,0.8851
10000.0,4.0,2.0,100000.0,182.4454002380371,opu,1231.4419844150543,1.0,0.8871

