alpha,bias,degree,num_features,precomputed,proj_time,projection,raw_features,regr_time,scale,test_score
20000.0,0.0,2.0,600.0,1.0,0.878237247467041,opu_physical,0.0,18.015223264694214,1.0,0.8268
20000.0,0.0,2.0,700.0,1.0,0.9137594699859619,opu_physical,0.0,0.4995605945587158,1.0,0.8296
20000.0,0.0,2.0,800.0,1.0,0.8717963695526123,opu_physical,0.0,0.6263012886047363,1.0,0.8321
20000.0,0.0,2.0,900.0,1.0,1.1039421558380127,opu_physical,0.0,0.7076020240783691,1.0,0.8335
20000.0,0.0,2.0,10000.0,1.0,8.883263349533081,opu_physical,0.0,17.66644024848938,1.0,0.8656
