alpha,bias,degree,num_features,proj_time,projection,regr_time,scale,test_score
100.0,4.0,4.0,10.0,30.128482818603516,opu,0.17536592483520508,0.0001,0.3762
100.0,4.0,4.0,20.0,2.6554510593414307,opu,0.07071423530578613,0.0001,0.5766
100.0,4.0,4.0,30.0,2.7183010578155518,opu,0.059189558029174805,0.0001,0.5945
100.0,4.0,4.0,40.0,4.341531038284302,opu,0.05851578712463379,0.0001,0.649
100.0,4.0,4.0,50.0,4.212583780288696,opu,0.14233946800231934,0.0001,0.681
100.0,4.0,4.0,60.0,5.206952810287476,opu,0.06689929962158203,0.0001,0.7014
100.0,4.0,4.0,70.0,4.447504758834839,opu,0.037966012954711914,0.0001,0.7021
100.0,4.0,4.0,80.0,4.69817328453064,opu,0.15242242813110352,0.0001,0.7281
100.0,4.0,4.0,90.0,4.443114995956421,opu,0.251514196395874,0.0001,0.7473
100.0,4.0,4.0,100.0,4.623993873596191,opu,0.05559253692626953,0.0001,0.7402
100.0,4.0,4.0,200.0,5.156038284301758,opu,0.3696572780609131,0.0001,0.7873
100.0,4.0,4.0,300.0,4.629977464675903,opu,0.33687829971313477,0.0001,0.8014
100.0,4.0,4.0,400.0,5.784313917160034,opu,0.2937133312225342,0.0001,0.8186
100.0,4.0,4.0,500.0,5.641037702560425,opu,0.4273030757904053,0.0001,0.8254
100.0,4.0,4.0,600.0,6.497605562210083,opu,0.4620034694671631,0.0001,0.8331
100.0,4.0,4.0,700.0,5.827595472335815,opu,0.6381011009216309,0.0001,0.8366
100.0,4.0,4.0,800.0,5.974814176559448,opu,0.7755007743835449,0.0001,0.8429
100.0,4.0,4.0,900.0,5.548755407333374,opu,1.0990159511566162,0.0001,0.8439
100.0,4.0,4.0,1000.0,7.491581916809082,opu,1.1626877784729004,0.0001,0.8481
100.0,4.0,4.0,2000.0,5.888782262802124,opu,2.7566909790039062,0.0001,0.8636
100.0,4.0,4.0,3000.0,8.229014873504639,opu,2.9756200313568115,0.0001,0.8682
100.0,4.0,4.0,4000.0,8.994332075119019,opu,5.184138298034668,0.0001,0.873
100.0,4.0,4.0,5000.0,9.411890268325806,opu,6.597670078277588,0.0001,0.874
100.0,4.0,4.0,10000.0,16.075944185256958,opu,21.031750440597534,0.0001,0.8807
100.0,4.0,4.0,20000.0,26.880064964294434,opu,69.17035412788391,0.0001,0.8846
100.0,4.0,4.0,50000.0,70.7059154510498,opu,344.11337447166443,0.0001,0.8916
100.0,4.0,4.0,100000.0,210.2738802433014,opu,1891.7849366664886,0.0001,0.8923
