alpha,degree,dummy,kernel,output_dim,scale,seed,test_score,training_time,validation_score,warnings
100.0,0.5,0.0,opu,10.0,1.0,0.0,0.5702,3.115539312362671,0.57475,0.0
10.0,0.5,0.0,opu,10.0,1.0,0.0,0.5704,3.115539312362671,0.5747166666666667,0.0
1.0,0.5,0.0,opu,10.0,1.0,0.0,0.5704,3.115539312362671,0.5747333333333333,0.0
0.1,0.5,0.0,opu,10.0,1.0,0.0,0.5704,3.115539312362671,0.5747333333333333,0.0
0.01,0.5,0.0,opu,10.0,1.0,0.0,0.5704,3.115539312362671,0.5747333333333333,0.0
0.0,0.5,0.0,opu,10.0,1.0,0.0,0.5704,3.115539312362671,0.5747333333333333,0.0
100.0,0.5,0.0,opu,10.0,0.1,0.0,0.572,0.6485998630523682,0.5752833333333334,0.0
10.0,0.5,0.0,opu,10.0,0.1,0.0,0.5699,0.6485998630523682,0.5745,0.0
1.0,0.5,0.0,opu,10.0,0.1,0.0,0.5702,0.6485998630523682,0.57475,0.0
0.1,0.5,0.0,opu,10.0,0.1,0.0,0.5704,0.6485998630523682,0.5747333333333333,0.0
0.01,0.5,0.0,opu,10.0,0.1,0.0,0.5704,0.6485998630523682,0.5747333333333333,0.0
0.0,0.5,0.0,opu,10.0,0.1,0.0,0.5704,0.6485998630523682,0.5747333333333333,0.0
100.0,0.5,0.0,opu,10.0,0.01,0.0,0.5099,0.7474284172058105,0.4978666666666667,0.0
10.0,0.5,0.0,opu,10.0,0.01,0.0,0.5646,0.7474284172058105,0.5564833333333333,0.0
1.0,0.5,0.0,opu,10.0,0.01,0.0,0.572,0.7474284172058105,0.5752833333333334,0.0
0.1,0.5,0.0,opu,10.0,0.01,0.0,0.5699,0.7474284172058105,0.5745,0.0
0.01,0.5,0.0,opu,10.0,0.01,0.0,0.5702,0.7474284172058105,0.57475,0.0
0.0,0.5,0.0,opu,10.0,0.01,0.0,0.5704,0.7474284172058105,0.5747333333333333,0.0
100.0,0.5,0.0,opu,10.0,0.001,0.0,0.4704,0.7551217079162598,0.4752166666666667,0.0
10.0,0.5,0.0,opu,10.0,0.001,0.0,0.4754,0.7551217079162598,0.4780333333333333,0.0
1.0,0.5,0.0,opu,10.0,0.001,0.0,0.5099,0.7551217079162598,0.4978666666666667,0.0
0.1,0.5,0.0,opu,10.0,0.001,0.0,0.5646,0.7551217079162598,0.5564666666666667,0.0
0.01,0.5,0.0,opu,10.0,0.001,0.0,0.572,0.7551217079162598,0.5752833333333334,0.0
0.0,0.5,0.0,opu,10.0,0.001,0.0,0.5704,0.7551217079162598,0.5747333333333333,0.0
100.0,0.5,0.0,opu,10.0,0.0001,0.0,0.4695,0.7037510871887207,0.47405,0.0
10.0,0.5,0.0,opu,10.0,0.0001,0.0,0.4695,0.7037510871887207,0.47483333333333333,0.0
1.0,0.5,0.0,opu,10.0,0.0001,0.0,0.4704,0.7037510871887207,0.4752166666666667,0.0
0.1,0.5,0.0,opu,10.0,0.0001,0.0,0.4754,0.7037510871887207,0.4780333333333333,0.0
0.01,0.5,0.0,opu,10.0,0.0001,0.0,0.5099,0.7037510871887207,0.4978666666666667,0.0
0.0,0.5,0.0,opu,10.0,0.0001,0.0,0.5704,0.7037510871887207,0.5747333333333333,0.0
100.0,0.5,0.0,opu,10.0,1e-05,0.0,0.4322,0.707923412322998,0.34778333333333333,0.0
10.0,0.5,0.0,opu,10.0,1e-05,0.0,0.4696,0.707923412322998,0.4685666666666667,0.0
1.0,0.5,0.0,opu,10.0,1e-05,0.0,0.4695,0.707923412322998,0.47405,0.0
0.1,0.5,0.0,opu,10.0,1e-05,0.0,0.4695,0.707923412322998,0.47483333333333333,0.0
0.01,0.5,0.0,opu,10.0,1e-05,0.0,0.4703,0.707923412322998,0.4752166666666667,0.0
0.0,0.5,0.0,opu,10.0,1e-05,0.0,0.5704,0.707923412322998,0.5747333333333333,0.0
100.0,0.5,0.0,opu,10.0,1.0,1.0,0.5549,0.6758902072906494,0.5659666666666666,0.0
10.0,0.5,0.0,opu,10.0,1.0,1.0,0.5549,0.6758902072906494,0.5658666666666666,0.0
1.0,0.5,0.0,opu,10.0,1.0,1.0,0.5549,0.6758902072906494,0.5659,0.0
0.1,0.5,0.0,opu,10.0,1.0,1.0,0.5549,0.6758902072906494,0.5659,0.0
0.01,0.5,0.0,opu,10.0,1.0,1.0,0.5549,0.6758902072906494,0.5659,0.0
0.0,0.5,0.0,opu,10.0,1.0,1.0,0.5549,0.6758902072906494,0.5659,0.0
100.0,0.5,0.0,opu,10.0,0.1,1.0,0.5553,0.6957883834838867,0.5670333333333333,0.0
10.0,0.5,0.0,opu,10.0,0.1,1.0,0.555,0.6957883834838867,0.56595,0.0
1.0,0.5,0.0,opu,10.0,0.1,1.0,0.5549,0.6957883834838867,0.5659666666666666,0.0
0.1,0.5,0.0,opu,10.0,0.1,1.0,0.5549,0.6957883834838867,0.5658666666666666,0.0
0.01,0.5,0.0,opu,10.0,0.1,1.0,0.5549,0.6957883834838867,0.5659,0.0
0.0,0.5,0.0,opu,10.0,0.1,1.0,0.5549,0.6957883834838867,0.5659,0.0
100.0,0.5,0.0,opu,10.0,0.01,1.0,0.5118,0.7102150917053223,0.49016666666666664,0.0
10.0,0.5,0.0,opu,10.0,0.01,1.0,0.5569,0.7102150917053223,0.55795,0.0
1.0,0.5,0.0,opu,10.0,0.01,1.0,0.5552,0.7102150917053223,0.5670333333333333,0.0
0.1,0.5,0.0,opu,10.0,0.01,1.0,0.555,0.7102150917053223,0.56595,0.0
0.01,0.5,0.0,opu,10.0,0.01,1.0,0.5549,0.7102150917053223,0.5659666666666666,0.0
0.0,0.5,0.0,opu,10.0,0.01,1.0,0.5549,0.7102150917053223,0.5659,0.0
100.0,0.5,0.0,opu,10.0,0.001,1.0,0.4358,0.7149753570556641,0.4364166666666667,0.0
10.0,0.5,0.0,opu,10.0,0.001,1.0,0.4477,0.7149753570556641,0.4428,0.0
1.0,0.5,0.0,opu,10.0,0.001,1.0,0.5118,0.7149753570556641,0.49016666666666664,0.0
0.1,0.5,0.0,opu,10.0,0.001,1.0,0.5569,0.7149753570556641,0.55795,0.0
0.01,0.5,0.0,opu,10.0,0.001,1.0,0.5554,0.7149753570556641,0.5670333333333333,0.0
0.0,0.5,0.0,opu,10.0,0.001,1.0,0.5549,0.7149753570556641,0.5659,0.0
100.0,0.5,0.0,opu,10.0,0.0001,1.0,0.4341,0.6426546573638916,0.43495,0.0
10.0,0.5,0.0,opu,10.0,0.0001,1.0,0.4346,0.6426546573638916,0.43585,0.0
