alpha,degree,dummy,kernel,output_dim,scale,seed,test_score,training_time,validation_score,warnings
100.0,0.5,1.0,opu,10000.0,0.0001,0.0,0.6293,220.08248615264893,0.6326333333333334,2.0
10.0,0.5,1.0,opu,10000.0,0.0001,0.0,0.659,220.08248615264893,0.6491166666666667,2.0
1.0,0.5,1.0,opu,10000.0,0.0001,0.0,0.7306,220.08248615264893,0.71175,2.0
0.1,0.5,1.0,opu,10000.0,0.0001,0.0,0.7907,220.08248615264893,0.7837333333333333,2.0
0.01,0.5,1.0,opu,10000.0,0.0001,0.0,0.8351,220.08248615264893,0.8296,2.0
0.0,0.5,1.0,opu,10000.0,0.0001,0.0,0.8853,220.08248615264893,0.874,2.0
100.0,0.5,1.0,opu,10000.0,1e-05,0.0,0.6252,220.497953414917,0.6305,2.0
10.0,0.5,1.0,opu,10000.0,1e-05,0.0,0.6262,220.497953414917,0.63095,2.0
1.0,0.5,1.0,opu,10000.0,1e-05,0.0,0.6293,220.497953414917,0.6326333333333334,2.0
0.1,0.5,1.0,opu,10000.0,1e-05,0.0,0.659,220.497953414917,0.6491166666666667,2.0
0.01,0.5,1.0,opu,10000.0,1e-05,0.0,0.7306,220.497953414917,0.71175,2.0
0.0,0.5,1.0,opu,10000.0,1e-05,0.0,0.8854,220.497953414917,0.8740333333333333,2.0
100.0,0.5,1.0,opu,10000.0,1.0,1.0,0.8841,218.54979419708252,0.8779833333333333,7.0
10.0,0.5,1.0,opu,10000.0,1.0,1.0,0.8843,218.54979419708252,0.8752166666666666,7.0
1.0,0.5,1.0,opu,10000.0,1.0,1.0,0.8844,218.54979419708252,0.8748333333333334,7.0
0.1,0.5,1.0,opu,10000.0,1.0,1.0,0.8845,218.54979419708252,0.87475,7.0
0.01,0.5,1.0,opu,10000.0,1.0,1.0,0.8845,218.54979419708252,0.8747333333333334,7.0
0.0,0.5,1.0,opu,10000.0,1.0,1.0,0.8845,218.54979419708252,0.8747166666666667,7.0
100.0,0.5,1.0,opu,10000.0,0.1,1.0,0.8797,221.67650818824768,0.8792333333333333,6.0
10.0,0.5,1.0,opu,10000.0,0.1,1.0,0.8842,221.67650818824768,0.8823833333333333,6.0
1.0,0.5,1.0,opu,10000.0,0.1,1.0,0.884,221.67650818824768,0.8779166666666667,6.0
0.1,0.5,1.0,opu,10000.0,0.1,1.0,0.8843,221.67650818824768,0.8751,6.0
0.01,0.5,1.0,opu,10000.0,0.1,1.0,0.8844,221.67650818824768,0.8747833333333334,6.0
0.0,0.5,1.0,opu,10000.0,0.1,1.0,0.8844,221.67650818824768,0.8746833333333334,6.0
100.0,0.5,1.0,opu,10000.0,0.01,1.0,0.8343,220.08340167999268,0.8290833333333333,4.0
10.0,0.5,1.0,opu,10000.0,0.01,1.0,0.8642,220.08340167999268,0.8640666666666666,4.0
1.0,0.5,1.0,opu,10000.0,0.01,1.0,0.8796,220.08340167999268,0.8792333333333333,4.0
0.1,0.5,1.0,opu,10000.0,0.01,1.0,0.8842,220.08340167999268,0.8824,4.0
0.01,0.5,1.0,opu,10000.0,0.01,1.0,0.884,220.08340167999268,0.8778833333333333,4.0
0.0,0.5,1.0,opu,10000.0,0.01,1.0,0.8845,220.08340167999268,0.8746166666666667,4.0
100.0,0.5,1.0,opu,10000.0,0.001,1.0,0.7279,213.91770195960999,0.7089166666666666,1.0
10.0,0.5,1.0,opu,10000.0,0.001,1.0,0.7916,213.91770195960999,0.7838166666666667,1.0
1.0,0.5,1.0,opu,10000.0,0.001,1.0,0.8343,213.91770195960999,0.8290833333333333,1.0
0.1,0.5,1.0,opu,10000.0,0.001,1.0,0.8642,213.91770195960999,0.8640666666666666,1.0
0.01,0.5,1.0,opu,10000.0,0.001,1.0,0.8796,213.91770195960999,0.8792166666666666,1.0
0.0,0.5,1.0,opu,10000.0,0.001,1.0,0.8845,213.91770195960999,0.8747333333333334,1.0
100.0,0.5,1.0,opu,10000.0,0.0001,1.0,0.6287,215.98437356948853,0.6313666666666666,2.0
10.0,0.5,1.0,opu,10000.0,0.0001,1.0,0.6586,215.98437356948853,0.6476,2.0
1.0,0.5,1.0,opu,10000.0,0.0001,1.0,0.7279,215.98437356948853,0.7089166666666666,2.0
0.1,0.5,1.0,opu,10000.0,0.0001,1.0,0.7916,215.98437356948853,0.7838166666666667,2.0
0.01,0.5,1.0,opu,10000.0,0.0001,1.0,0.8343,215.98437356948853,0.8290833333333333,2.0
0.0,0.5,1.0,opu,10000.0,0.0001,1.0,0.8844,215.98437356948853,0.8746666666666667,2.0
100.0,0.5,1.0,opu,10000.0,1e-05,1.0,0.6253,223.94880080223083,0.6294833333333333,2.0
10.0,0.5,1.0,opu,10000.0,1e-05,1.0,0.6257,223.94880080223083,0.6297,2.0
1.0,0.5,1.0,opu,10000.0,1e-05,1.0,0.6287,223.94880080223083,0.6313666666666666,2.0
0.1,0.5,1.0,opu,10000.0,1e-05,1.0,0.6586,223.94880080223083,0.6476,2.0
0.01,0.5,1.0,opu,10000.0,1e-05,1.0,0.7279,223.94880080223083,0.7089166666666666,2.0
0.0,0.5,1.0,opu,10000.0,1e-05,1.0,0.8844,223.94880080223083,0.8746666666666667,2.0
100.0,0.5,1.0,opu,10000.0,1.0,2.0,0.8844,216.21326613426208,0.8789333333333333,7.0
10.0,0.5,1.0,opu,10000.0,1.0,2.0,0.8846,216.21326613426208,0.8759,7.0
1.0,0.5,1.0,opu,10000.0,1.0,2.0,0.8845,216.21326613426208,0.8753166666666666,7.0
0.1,0.5,1.0,opu,10000.0,1.0,2.0,0.8846,216.21326613426208,0.8752333333333333,7.0
0.01,0.5,1.0,opu,10000.0,1.0,2.0,0.8844,216.21326613426208,0.8752166666666666,7.0
