alpha,degree,dummy,kernel,output_dim,scale,seed,test_score,training_time,validation_score,warnings
0.0,0.5,1.0,opu,5000.0,0.01,0.0,0.8761,62.36167764663696,0.881,4.0
100.0,0.5,1.0,opu,5000.0,0.001,0.0,0.7082,63.6267774105072,0.7171666666666666,2.0
10.0,0.5,1.0,opu,5000.0,0.001,0.0,0.7766,63.6267774105072,0.7839166666666667,2.0
1.0,0.5,1.0,opu,5000.0,0.001,0.0,0.8219,63.6267774105072,0.8264166666666667,2.0
0.1,0.5,1.0,opu,5000.0,0.001,0.0,0.8548,63.6267774105072,0.8615833333333334,2.0
0.01,0.5,1.0,opu,5000.0,0.001,0.0,0.8692,63.6267774105072,0.8799166666666667,2.0
0.0,0.5,1.0,opu,5000.0,0.001,0.0,0.8761,63.6267774105072,0.8809166666666667,2.0
100.0,0.5,1.0,opu,5000.0,0.0001,0.0,0.6276,65.48353862762451,0.5531666666666667,2.0
10.0,0.5,1.0,opu,5000.0,0.0001,0.0,0.6431,65.48353862762451,0.65975,2.0
1.0,0.5,1.0,opu,5000.0,0.0001,0.0,0.7082,65.48353862762451,0.7171666666666666,2.0
0.1,0.5,1.0,opu,5000.0,0.0001,0.0,0.7766,65.48353862762451,0.7839166666666667,2.0
0.01,0.5,1.0,opu,5000.0,0.0001,0.0,0.8219,65.48353862762451,0.8264166666666667,2.0
0.0,0.5,1.0,opu,5000.0,0.0001,0.0,0.8761,65.48353862762451,0.8809166666666667,2.0
100.0,0.5,1.0,opu,5000.0,1e-05,0.0,0.6255,63.683356523513794,0.09575,2.0
10.0,0.5,1.0,opu,5000.0,1e-05,0.0,0.6255,63.683356523513794,0.18758333333333332,2.0
1.0,0.5,1.0,opu,5000.0,1e-05,0.0,0.6276,63.683356523513794,0.5531666666666667,2.0
0.1,0.5,1.0,opu,5000.0,1e-05,0.0,0.6431,63.683356523513794,0.65975,2.0
0.01,0.5,1.0,opu,5000.0,1e-05,0.0,0.7082,63.683356523513794,0.7171666666666666,2.0
0.0,0.5,1.0,opu,5000.0,1e-05,0.0,0.8761,63.683356523513794,0.8809166666666667,2.0
100.0,0.5,5.0,opu,5000.0,1.0,0.0,0.8749,64.2840027809143,0.8824166666666666,12.0
10.0,0.5,5.0,opu,5000.0,1.0,0.0,0.8751,64.2840027809143,0.8824166666666666,12.0
1.0,0.5,5.0,opu,5000.0,1.0,0.0,0.8751,64.2840027809143,0.8826666666666667,12.0
0.1,0.5,5.0,opu,5000.0,1.0,0.0,0.8751,64.2840027809143,0.88275,12.0
0.01,0.5,5.0,opu,5000.0,1.0,0.0,0.8751,64.2840027809143,0.8825833333333334,12.0
0.0,0.5,5.0,opu,5000.0,1.0,0.0,0.8751,64.2840027809143,0.88275,12.0
100.0,0.5,5.0,opu,5000.0,0.1,0.0,0.8704,64.87351179122925,0.8784166666666666,8.0
10.0,0.5,5.0,opu,5000.0,0.1,0.0,0.8741,64.87351179122925,0.88225,8.0
1.0,0.5,5.0,opu,5000.0,0.1,0.0,0.8749,64.87351179122925,0.8824166666666666,8.0
0.1,0.5,5.0,opu,5000.0,0.1,0.0,0.8751,64.87351179122925,0.8824166666666666,8.0
0.01,0.5,5.0,opu,5000.0,0.1,0.0,0.8751,64.87351179122925,0.8825833333333334,8.0
0.0,0.5,5.0,opu,5000.0,0.1,0.0,0.8751,64.87351179122925,0.8826666666666667,8.0
100.0,0.5,5.0,opu,5000.0,0.01,0.0,0.8218,62.808528423309326,0.8246666666666667,4.0
